date,school,oct2023,oct2024,oct2025,count,k,g1,g2,g3,g4,g5
2026-08-12,FIRESIDE,396,397,406,405,74.0,77.0,54.0,58.0,80.0,62.0
2026-08-12,FLATIRONS,164,163,151,147,18.0,28.0,19.0,30.0,32.0,20.0
2026-08-12,FOOTHILL,437,418,434,447,65.0,70.0,65.0,77.0,85.0,85.0
2026-08-12,GOLD HILL,12,10,11,13,3.0,1.0,0.0,2.0,5.0,2.0
2026-08-12,HEATHERWOOD,226,233,225,226,38.0,33.0,41.0,40.0,29.0,45.0
2026-08-12,HIGH PEAKS,245,257,283,309,53.0,52.0,53.0,49.0,51.0,51.0
2026-08-12,HORIZONS K-5,242,238,245,251,37.0,41.0,42.0,41.0,45.0,45.0
2026-08-12,JAMESTOWN,18,17,17,18,2.0,4.0,4.0,2.0,3.0,3.0
2026-08-12,KOHL,251,254,256,254,33.0,49.0,41.0,41.0,48.0,42.0
2026-08-12,LAFAYETTE,444,465,450,401,42.0,72.0,69.0,65.0,71.0,82.0
2026-08-12,LOUISVILLE,422,417,382,385,68.0,55.0,68.0,59.0,62.0,73.0
2026-08-12,MEADOWLARK K-5,464,468,471,487,83.0,83.0,81.0,74.0,80.0,86.0
2026-08-12,MESA,233,230,224,202,24.0,28.0,35.0,31.0,38.0,46.0
2026-08-12,MONARCH K-5,274,264,264,266,33.0,44.0,41.0,40.0,49.0,59.0
2026-08-12,MONTESSORI SCHOOL,227,232,193,188,42.0,28.0,36.0,26.0,32.0,24.0
2026-08-12,NEDERLAND,165,172,166,165,30.0,24.0,30.0,25.0,26.0,30.0
2026-08-12,PEAK TO PEAK K-5,447,445,450,446,72.0,72.0,72.0,73.0,78.0,79.0
2026-08-12,PIONEER,415,397,371,396,92.0,63.0,59.0,66.0,57.0,59.0
2026-08-12,RYAN,426,410,393,422,65.0,62.0,56.0,75.0,82.0,82.0
2026-08-12,SANCHEZ,285,290,276,252,30.0,35.0,52.0,30.0,54.0,51.0
2026-08-12,SUPERIOR,429,416,433,423,63.0,80.0,56.0,79.0,74.0,71.0
2026-08-12,UNIVERSITY HILL,372,380,368,354,49.0,63.0,53.0,54.0,71.0,64.0
2026-08-12,WHITTIER,291,267,257,250,37.0,37.0,42.0,45.0,48.0,41.0
2026-08-12,TOTAL ELEMENTARY,10804,10681,10427,10416,,,,,,
2026-08-14,ASPEN CREEK K-5,420,443,473,501,91.0,79.0,79.0,74.0,88.0,90.0
2026-08-14,BEAR CREEK,298,318,312,331,43.0,60.0,53.0,51.0,58.0,66.0
2026-08-14,BIRCH,279,276,261,260,45.0,37.0,43.0,38.0,42.0,55.0
2026-08-14,BCSIS,265,254,253,230,28.0,38.0,36.0,44.0,36.0,48.0
2026-08-14,BOULDER UNIVERSAL,42,46,39,49,4.0,4.0,8.0,6.0,13.0,14.0
2026-08-14,COAL CREEK,305,283,269,258,55.0,38.0,35.0,45.0,35.0,50.0
2026-08-14,COLUMBINE,352,343,313,308,47.0,62.0,41.0,54.0,50.0,54.0
2026-08-14,CREEKSIDE,333,327,288,251,28.0,33.0,38.0,44.0,50.0,58.0
2026-08-14,CREST VIEW,410,390,330,332,47.0,53.0,51.0,44.0,57.0,80.0
2026-08-14,DOUGLASS,286,282,281,286,43.0,43.0,41.0,50.0,56.0,53.0
2026-08-14,EISENHOWER,311,276,265,235,35.0,39.0,30.0,42.0,45.0,44.0
2026-08-14,ELDORADO K-5,263,256,252,275,50.0,45.0,40.0,41.0,47.0,52.0
2026-08-14,EMERALD,355,347,365,367,72.0,69.0,63.0,42.0,58.0,63.0
2026-08-14,FIRESIDE,396,397,406,401,73.0,77.0,54.0,57.0,79.0,61.0
2026-08-14,FLATIRONS,164,163,151,147,18.0,28.0,19.0,30.0,32.0,20.0
2026-08-14,FOOTHILL,437,418,434,450,66.0,71.0,65.0,78.0,85.0,85.0
2026-08-14,GOLD HILL,12,10,11,11,3.0,1.0,0.0,2.0,3.0,2.0
2026-08-14,HEATHERWOOD,226,233,225,226,39.0,32.0,41.0,40.0,30.0,44.0
2026-08-14,HIGH PEAKS,245,257,283,307,51.0,52.0,53.0,49.0,51.0,51.0
2026-08-14,HORIZONS K-5,242,238,245,250,36.0,41.0,42.0,41.0,44.0,46.0
2026-08-14,JAMESTOWN,18,17,17,18,2.0,4.0,4.0,2.0,3.0,3.0
2026-08-14,KOHL,251,254,256,248,31.0,48.0,40.0,41.0,47.0,41.0
2026-08-14,LAFAYETTE,444,465,450,399,44.0,71.0,70.0,65.0,69.0,80.0
