birth_year,area,normalized_area,births,is_total,row_ok,source_file,meeting_date,table_date,k_year
1996,Aspen Crk,Aspen Creek,63,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,BC-Creekside,BC-Creekside,3,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,BC-Mesa,BC-Mesa,24,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Bear Creek,Bear Creek,19,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Birch,Birch,79,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Coal Creek,Coal Creek,72,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Columbine,Columbine,141,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Creekside,Creekside,167,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Crest View,Crest View,136,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Douglass,Douglass,40,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Eisenhower,Eisenhower,51,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Eldorado (K-5),Eldorado,0,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Emerald,Emerald,61,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Fireside,Fireside,83,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Flatirons,Flatirons,70,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Foothill,Foothill,123,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Gold Hill,Gold Hill,2,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Heatherwood,Heatherwood,70,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Jamestown,Jamestown,3,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Kohl,Kohl,44,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Lafayette,Lafayette,137,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Louisville,Louisville,66,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Mesa,Mesa,30,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Monarch (K-5),Monarch,35,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Nederland,Nederland,88,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Ryan,Ryan,135,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Sanchez,Sanchez,102,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Superior,Superior,91,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Unlocated,Unlocated,4,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Whittier,Whittier,137,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,BVSD,BVSD,2076,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1996,Boulder Total,Boulder Total,971,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
