spec,key,fit_through,vintage,target_fall,horizon,actual,p50,p2_5,p10,p25,p75,p90,p97_5,in50,in80,in95,above_p90,below_p10,ape_model,pct_err_model,ape_bvsd
trend,mesaelementaryschool,2023,jan2024,2024,1,230.0,217.5388958091818,205.35341776571795,209.61923507500578,213.66831025286598,223.4486957124231,237.32210879400446,240.43357676754223,False,True,True,False,False,5.417871387312257,-5.417871387312257,4.3478260869565215
trend,mesaelementaryschool,2023,jan2024,2025,2,224.0,204.482122341089,186.23537628018389,192.10580030959818,197.22912742972198,214.60592621672515,224.01980662282267,234.5106859146347,False,True,True,False,False,8.71333824058527,-8.71333824058527,5.803571428571429
trend,nederlandelementaryschool,2023,jan2024,2024,1,172.0,159.9097365377533,131.5516881289853,136.32783606574046,154.04772241019185,164.22493778922473,167.42049961878942,171.5853477147452,False,False,False,True,False,7.029222943166684,-7.029222943166684,7.558139534883721
trend,nederlandelementaryschool,2023,jan2024,2025,2,166.0,153.4039747551573,120.10502506839,129.33416001082077,142.57375776751107,161.39820313907572,168.09512771854583,176.73539672421364,False,True,True,False,False,7.5879670149654865,-7.5879670149654865,4.216867469879518
trend,pioneerelementaryschool,2023,jan2024,2024,1,397.0,412.5061670361175,388.5630694975422,391.38779160320917,400.78811182614197,417.69311582600125,420.13320994333367,422.1050484874264,False,True,True,False,False,3.9058355254704074,3.9058355254704074,2.267002518891688
trend,pioneerelementaryschool,2023,jan2024,2025,2,371.0,400.8213395449676,371.8653181348975,381.8118124342894,390.7811693402258,410.7852046732917,416.42750897959223,420.65887427636613,False,False,False,False,True,8.03809691239019,8.03809691239019,8.625336927223719
trend,ryanelementaryschool,2023,jan2024,2024,1,410.0,449.7222984310833,355.76131474832016,371.04637935316316,425.03338960338203,461.6304653440833,470.8920848389283,482.79055005163764,False,True,True,False,False,9.688365470995924,9.688365470995924,3.414634146341464
trend,ryanelementaryschool,2023,jan2024,2025,2,393.0,473.94311254192127,352.2897925064389,391.19470074382957,427.85674831821933,501.7618480978009,521.739159402289,549.2278207946697,False,True,True,False,False,20.596211842728056,20.596211842728056,5.852417302798982
trend,superiorelementaryschool,2023,jan2024,2024,1,416.0,441.1683137472702,415.60219404472906,422.5049458175472,430.9278594215612,451.98972434735106,464.02756155954216,471.97471533943605,False,False,True,False,True,6.0500754200168725,6.0500754200168725,4.086538461538462
trend,superiorelementaryschool,2023,jan2024,2025,2,433.0,452.5904193425165,409.5477623263509,423.1333557104742,436.4244160295593,467.6793171299232,482.41994500698905,496.1018433927763,False,True,True,False,False,4.524346268479561,4.524346268479561,0.9237875288683602
trend,universityhillelementaryschool,2023,jan2024,2024,1,380.0,354.3439630829871,337.92353936932386,344.55629421536884,349.3345041591635,359.38475889619997,364.1112890468936,370.5162428694876,False,False,False,True,False,6.751588662371815,-6.751588662371815,
trend,universityhillelementaryschool,2023,jan2024,2025,2,368.0,341.10624169322944,319.01068165025646,326.8059046420927,333.64928705144735,349.2169474563355,357.926612386837,370.2887283937737,False,False,True,True,False,7.3080864964050445,-7.3080864964050445,
trend,whittierinternationalelementary,2023,jan2024,2024,1,267.0,272.5179823967832,246.1209710751622,249.99521666254788,256.1995137921384,281.81983437880945,288.6423428796776,294.90991253916565,True,True,True,False,False,2.0666600737015823,2.0666600737015823,2.247191011235955
trend,whittierinternationalelementary,2023,jan2024,2025,2,257.0,248.1705856630065,211.43357181434567,221.36439926155785,233.88412374107492,262.2650623802275,276.55722445669653,288.04795248049163,True,True,True,False,False,3.4355697809313206,-3.4355697809313206,2.723735408560312
trend,aliciasanchezelementaryschool,2024,jan2025,2025,1,276.0,281.92675058980865,241.52042956930126,251.97493837703814,269.25153013735485,295.8967789687357,307.46673223194546,314.72610710740247,True,True,True,False,False,2.147373402104583,2.147373402104583,10.869565217391305
trend,bcsis,2024,jan2025,2025,1,536.0,520.4196824742933,481.0082572251639,486.26708332623787,509.8976345259482,530.4072897239522,538.9625418034667,545.2955670469834,False,True,True,False,False,2.9067756577811066,-2.9067756577811066,5.037313432835821
trend,bearcreekelementary,2024,jan2025,2025,1,312.0,304.45204165606503,265.47117250059574,280.0129966202068,292.6501118398702,322.08403384734015,338.54275641913085,346.65379586957795,True,True,True,False,False,2.4192174179278734,-2.4192174179278734,1.2820512820512822
trend,coalcreekelementaryschool,2024,jan2025,2025,1,269.0,273.00261830485505,246.37087042436872,260.48232092774646,264.6531972916192,282.5932507527385,290.60339945983316,325.56723345338463,True,True,True,False,False,1.4879621951134008,1.4879621951134008,0.3717472118959107
trend,columbineelementaryschool,2024,jan2025,2025,1,313.0,332.0859276985737,284.46258937762343,307.56421026550356,324.8498757935537,337.27646206482245,341.1851093273223,344.80174344363684,False,True,True,False,False,6.097740478777539,6.097740478777539,10.86261980830671
trend,communitymontessori,2024,jan2025,2025,1,193.0,230.96016248707446,194.82732370656484,219.98964159538764,226.2059679921305,235.53808668153016,238.92559282532412,242.2529365678503,False,False,False,False,True,19.66847797257744,19.66847797257744,20.207253886010363
trend,creeksideelementaryatmartinpark,2024,jan2025,2025,1,288.0,314.1990077136153,274.4456789100264,290.39304219536007,302.4472034953504,337.12443346363364,350.2996634272448,360.30352401769704,False,False,True,False,True,9.096877678338641,9.096877678338641,7.638888888888889
trend,crestviewelementary,2024,jan2025,2025,1,330.0,363.59383056692656,310.9107386567048,347.005702335354,355.0786187869716,373.74833373575706,390.75329203657105,397.43744383577086,False,False,True,False,True,10.17994865664441,10.17994865664441,9.696969696969695
trend,douglasselementaryschool,2024,jan2025,2025,1,281.0,275.38179591396863,220.18431441541588,253.8544931462404,264.56480529970054,282.30472755460806,287.43474406490685,296.1687115850379,True,True,True,False,False,1.9993608847086723,-1.9993608847086723,3.202846975088968
trend,eisenhowerelementaryschool,2024,jan2025,2025,1,265.0,270.1324836040976,229.18869757590178,241.32199974776876,249.5505449427725,280.57567826909514,287.11102402846177,293.36777062448374,True,True,True,False,False,1.9367862656972132,1.9367862656972132,0.7547169811320755
trend,emeraldelementaryschool,2024,jan2025,2025,1,365.0,347.30444344993725,311.8807359502361,326.95880305503846,337.9910049376326,358.7635031643796,367.6520935287188,376.46376247286247,False,True,True,False,False,4.848097684948698,-4.848097684948698,3.287671232876712
trend,firesideelementaryschool,2024,jan2025,2025,1,406.0,386.6374322812403,336.70762174617,366.0642879444229,375.77437289237287,396.9449820002127,408.0267788559077,434.0348112464905,False,True,True,False,False,4.7691053494482,-4.7691053494482,2.4630541871921183
trend,flatironselementaryschool,2024,jan2025,2025,1,151.0,162.48883541905803,141.1123060395866,154.58384944221385,158.01529313675331,166.32962905444808,179.50104928576025,191.84059719840937,False,False,True,False,True,7.608500277521877,7.608500277521877,9.271523178807946
trend,foothillelementaryschool,2024,jan2025,2025,1,434.0,414.09574250670505,377.7190099229106,383.5102530848864,393.46388078851527,429.70336695256015,435.2930592143888,440.1505335390299,False,True,True,False,False,4.586234445459666,-4.586234445459666,2.7649769585253456
trend,heatherwoodelementaryschool,2024,jan2025,2025,1,225.0,217.94403691436878,191.3356007958303,198.35465153435348,206.68618999645378,225.115151494391,230.16817538857651,235.0090995700335,True,True,True,False,False,3.1359835936138754,-3.1359835936138754,1.3333333333333333
trend,kohlelementaryschool,2024,jan2025,2025,1,256.0,238.1220867885611,214.28340602105203,223.2016762599054,232.0025217722585,244.0380202531409,250.63500096294104,257.12596133933323,False,False,True,True,False,6.983559848218324,-6.983559848218324,3.515625
trend,lafayetteelementaryschool,2024,jan2025,2025,1,450.0,458.363095002994,330.141581700459,341.9333413296747,412.3145046965594,477.8100148213535,487.3473090637678,493.70872843509545,True,True,True,False,False,1.858465556220886,1.858465556220886,3.111111111111111
trend,louisvilleelementaryschool,2024,jan2025,2025,1,382.0,392.929653527794,342.67482530743297,369.1287139255471,383.9914549727155,410.20264180645074,420.9879112504952,428.9599710836588,False,True,True,False,False,2.8611658449722555,2.8611658449722555,6.544502617801047
trend,mesaelementaryschool,2024,jan2025,2025,1,224.0,217.7263160680119,201.5426369427755,207.63373615884188,212.7678491610427,223.84303519644402,231.57041068924653,238.68534307733321,False,True,True,False,False,2.8007517553518317,-2.8007517553518317,2.6785714285714284
trend,nederlandelementaryschool,2024,jan2025,2025,1,166.0,167.3163654242199,138.43604543360073,149.62118878254077,161.1411631391426,172.81958922769627,176.95480059397426,181.34956119355732,True,True,True,False,False,0.7929912194095758,0.7929912194095758,6.626506024096385
trend,pioneerelementaryschool,2024,jan2025,2025,1,371.0,391.0834487691691,371.52931975604633,375.28500878011926,381.00097257358055,398.03231129442713,402.2271340486703,406.3617056102513,False,False,False,False,True,5.413328509209995,5.413328509209995,4.5822102425876015
