png,y,x,conf,text
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,678,16,1.0,Heatherwood
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,696,1706,0.976,There are not enough
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,742,37,0.999,Eisenhower
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,744,1704,0.998,resident students in
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,786,1705,0.998,Boulder to sustain 16
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,807,79,1.0,Foothill
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,831,1703,0.999,elementary schools
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,872,54,0.999,Creekside
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,879,1703,0.981,above two
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,926,1705,0.977,classes/grade.
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,937,45,1.0,Columbine
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,1006,47,0.998,CrestView
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,1060,602,0.968,Number of Resident Students
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,1141,77,0.996,BVSD
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,1147,2083,1.0,44
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,57,61,0.99,ResilientSchoolsProposal|Boulder
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,101,60,0.98,School Enrollment Composition
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,225,760,1.0,2025-26
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,251,1759,0.997,Projected 2030
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,268,470,0.999,100
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,268,662,1.0,200
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,268,852,0.999,300
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,268,1045,1.0,400
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,268,1237,1.0,500
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,268,1428,0.999,600
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,273,294,0.902,0
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,294,1759,1.0,Capacity
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,318,186,1.0,Flatirons
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,343,1758,0.994,2 classes/grade
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,366,163,0.999,Montessori
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p45.png,388,1762,0.998,Attending neighborhood school
