school,target_fall,from_vintage,to_vintage,horizon_at_first,first,revised,revision,pct_revision,mountain,abs_pct_revision
Meadowlark School,2026,jan2024,jan2025,3,496.0,461.0,-35.0,-7.056451612903226,False,7.056451612903226
Meadowlark School,2027,jan2024,jan2025,4,520.0,497.0,-23.0,-4.423076923076923,False,4.423076923076923
Meadowlark School,2028,jan2024,jan2025,5,556.0,537.0,-19.0,-3.41726618705036,False,3.41726618705036
Mesa Elementary School,2025,jan2024,jan2025,2,211.0,230.0,19.0,9.004739336492891,False,9.004739336492891
Mesa Elementary School,2026,jan2024,jan2025,3,202.0,220.0,18.0,8.910891089108912,False,8.910891089108912
Mesa Elementary School,2027,jan2024,jan2025,4,203.0,218.0,15.0,7.389162561576355,False,7.389162561576355
Mesa Elementary School,2028,jan2024,jan2025,5,202.0,216.0,14.0,6.930693069306931,False,6.930693069306931
Monarch K-8 School,2025,jan2024,jan2025,2,303.0,257.0,-46.0,-15.181518151815181,False,15.181518151815181
Monarch K-8 School,2026,jan2024,jan2025,3,320.0,278.0,-42.0,-13.125,False,13.125
Monarch K-8 School,2027,jan2024,jan2025,4,317.0,284.0,-33.0,-10.410094637223974,False,10.410094637223974
Monarch K-8 School,2028,jan2024,jan2025,5,312.0,289.0,-23.0,-7.371794871794871,False,7.371794871794871
Nederland Elementary School,2025,jan2024,jan2025,2,159.0,177.0,18.0,11.320754716981131,False,11.320754716981131
Nederland Elementary School,2026,jan2024,jan2025,3,161.0,179.0,18.0,11.180124223602485,False,11.180124223602485
Nederland Elementary School,2027,jan2024,jan2025,4,154.0,177.0,23.0,14.935064935064934,False,14.935064935064934
Nederland Elementary School,2028,jan2024,jan2025,5,158.0,181.0,23.0,14.556962025316455,False,14.556962025316455
Pioneer Elementary School,2025,jan2024,jan2025,2,403.0,388.0,-15.0,-3.7220843672456576,False,3.7220843672456576
Pioneer Elementary School,2026,jan2024,jan2025,3,403.0,390.0,-13.0,-3.225806451612903,False,3.225806451612903
Pioneer Elementary School,2027,jan2024,jan2025,4,401.0,389.0,-12.0,-2.9925187032418954,False,2.9925187032418954
