school,capacity,school_year,projected_enrollment,data_type,vintage,_source,_source_line
Fireside Elementary,516,2026-27,385,projection,feb2026,data/raw/enrollmentdata/maps/index.html,925
Fireside Elementary,516,2027-28,373,projection,feb2026,data/raw/enrollmentdata/maps/index.html,925
Fireside Elementary,516,2028-29,358,projection,feb2026,data/raw/enrollmentdata/maps/index.html,925
Fireside Elementary,516,2029-30,355,projection,feb2026,data/raw/enrollmentdata/maps/index.html,925
Fireside Elementary,516,2030-31,359,projection,feb2026,data/raw/enrollmentdata/maps/index.html,925
Foothill Elementary,565,2026-27,437,projection,feb2026,data/raw/enrollmentdata/maps/index.html,926
Foothill Elementary,565,2027-28,444,projection,feb2026,data/raw/enrollmentdata/maps/index.html,926
Foothill Elementary,565,2028-29,439,projection,feb2026,data/raw/enrollmentdata/maps/index.html,926
Foothill Elementary,565,2029-30,432,projection,feb2026,data/raw/enrollmentdata/maps/index.html,926
Foothill Elementary,565,2030-31,438,projection,feb2026,data/raw/enrollmentdata/maps/index.html,926
Gold Hill Elementary,49,2026-27,13,projection,feb2026,data/raw/enrollmentdata/maps/index.html,927
Gold Hill Elementary,49,2027-28,13,projection,feb2026,data/raw/enrollmentdata/maps/index.html,927
Gold Hill Elementary,49,2028-29,13,projection,feb2026,data/raw/enrollmentdata/maps/index.html,927
Gold Hill Elementary,49,2029-30,12,projection,feb2026,data/raw/enrollmentdata/maps/index.html,927
Gold Hill Elementary,49,2030-31,12,projection,feb2026,data/raw/enrollmentdata/maps/index.html,927
Jamestown Elementary,25,2026-27,19,projection,feb2026,data/raw/enrollmentdata/maps/index.html,928
Jamestown Elementary,25,2027-28,17,projection,feb2026,data/raw/enrollmentdata/maps/index.html,928
Jamestown Elementary,25,2028-29,16,projection,feb2026,data/raw/enrollmentdata/maps/index.html,928
Jamestown Elementary,25,2029-30,16,projection,feb2026,data/raw/enrollmentdata/maps/index.html,928
Jamestown Elementary,25,2030-31,14,projection,feb2026,data/raw/enrollmentdata/maps/index.html,928
Lafayette Elementary,565,2026-27,454,projection,feb2026,data/raw/enrollmentdata/maps/index.html,929
Lafayette Elementary,565,2027-28,435,projection,feb2026,data/raw/enrollmentdata/maps/index.html,929
Lafayette Elementary,565,2028-29,420,projection,feb2026,data/raw/enrollmentdata/maps/index.html,929
Lafayette Elementary,565,2029-30,411,projection,feb2026,data/raw/enrollmentdata/maps/index.html,929
Lafayette Elementary,565,2030-31,392,projection,feb2026,data/raw/enrollmentdata/maps/index.html,929
Nederland Elementary,467,2026-27,171,projection,feb2026,data/raw/enrollmentdata/maps/index.html,930
Nederland Elementary,467,2027-28,166,projection,feb2026,data/raw/enrollmentdata/maps/index.html,930
Nederland Elementary,467,2028-29,167,projection,feb2026,data/raw/enrollmentdata/maps/index.html,930
Nederland Elementary,467,2029-30,169,projection,feb2026,data/raw/enrollmentdata/maps/index.html,930
Nederland Elementary,467,2030-31,160,projection,feb2026,data/raw/enrollmentdata/maps/index.html,930
Ryan Elementary,467,2026-27,381,projection,feb2026,data/raw/enrollmentdata/maps/index.html,931
Ryan Elementary,467,2027-28,365,projection,feb2026,data/raw/enrollmentdata/maps/index.html,931
Ryan Elementary,467,2028-29,348,projection,feb2026,data/raw/enrollmentdata/maps/index.html,931
Ryan Elementary,467,2029-30,337,projection,feb2026,data/raw/enrollmentdata/maps/index.html,931
Ryan Elementary,467,2030-31,346,projection,feb2026,data/raw/enrollmentdata/maps/index.html,931
Superior Elementary,467,2026-27,425,projection,feb2026,data/raw/enrollmentdata/maps/index.html,932
Superior Elementary,467,2027-28,430,projection,feb2026,data/raw/enrollmentdata/maps/index.html,932
Superior Elementary,467,2028-29,434,projection,feb2026,data/raw/enrollmentdata/maps/index.html,932
Superior Elementary,467,2029-30,420,projection,feb2026,data/raw/enrollmentdata/maps/index.html,932
Superior Elementary,467,2030-31,433,projection,feb2026,data/raw/enrollmentdata/maps/index.html,932
Eldorado PK-8,568,2026-27,253,projection,feb2026,data/raw/enrollmentdata/maps/index.html,933
