school_as_printed,school_year,headcount_prior_year_as_printed,funded_headcount,funded_fte,_source,_page,PK,K,G1,G2,G3,G4,G5,grade_sum_K5,grade_check
Columbine Elementary School,2024-25,352,343,343.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,52.0,52.0,59.0,59.0,59.0,62.0,343.0,True
Community Montessori,2024-25,227,232,232.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,40.0,38.0,42.0,37.0,41.0,34.0,232.0,True
Creekside Elementary at Martin Park,2024-25,333,327,327.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,44.0,47.0,59.0,63.0,55.0,59.0,327.0,True
Crest View Elementary,2024-25,410,390,389.5,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,44.0,51.0,61.0,82.0,68.0,84.0,390.0,True
Douglass Elementary School,2024-25,287,282,280.5,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,39.0,47.0,53.0,47.0,39.0,57.0,282.0,True
Eisenhower Elementary School,2024-25,311,276,274.5,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,29.0,42.0,43.0,44.0,65.0,53.0,276.0,True
Eldorado K-8,2024-25,263,256,256.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,31.0,32.0,39.0,51.0,51.0,52.0,256.0,True
Emerald Elementary School,2024-25,355,347,347.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,71.0,43.0,57.0,61.0,63.0,52.0,347.0,True
Fireside Elementary School,2024-25,396,397,397.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,54.0,59.0,74.0,62.0,80.0,68.0,397.0,True
Flatirons Elementary School,2024-25,164,163,163.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,26.0,28.0,36.0,20.0,25.0,28.0,163.0,True
Foothill Elementary School,2024-25,437,418,416.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,52.0,75.0,74.0,73.0,70.0,74.0,418.0,True
Gold Hill Elementary School,2024-25,12,10,10.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,0.0,3.0,4.0,2.0,1.0,0.0,10.0,True
Heatherwood Elementary School,2024-25,226,233,231.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,38.0,38.0,29.0,46.0,38.0,44.0,233.0,True
High Peaks Elementary,2024-25,245,257,257.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,43.0,37.0,43.0,47.0,47.0,40.0,257.0,True
Horizons K-8 School,2024-25,242,238,238.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,28.0,39.0,42.0,43.0,43.0,43.0,238.0,True
Jamestown Elementary School,2024-25,18,17,17.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,4.0,3.0,2.0,3.0,2.0,3.0,17.0,True
Kohl Elementary School,2024-25,252,254,254.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,42.0,38.0,45.0,44.0,37.0,48.0,254.0,True
Lafayette Elementary School,2024-25,444,465,464.5,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,72.0,67.0,78.0,88.0,74.0,86.0,465.0,True
Louisville Elementary School,2024-25,422,417,416.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,65.0,58.0,52.0,76.0,76.0,90.0,417.0,True
Meadowlark School,2024-25,465,468,467.5,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,75.0,66.0,75.0,86.0,75.0,91.0,468.0,True
Mesa Elementary School,2024-25,233,230,230.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,33.0,27.0,36.0,41.0,44.0,49.0,230.0,True
Monarch K-8 School,2024-25,274,264,264.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,41.0,36.0,40.0,41.0,47.0,59.0,264.0,True
Nederland Elementary School,2024-25,165,172,172.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,33.0,23.0,24.0,33.0,28.0,31.0,172.0,True
Peak to Peak K-12 Charter,2024-25,447,445,445.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,70.0,70.0,72.0,77.0,78.0,78.0,445.0,True
Pioneer Elementary School,2024-25,415,397,397.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,63.0,69.0,68.0,66.0,69.0,62.0,397.0,True
Ryan Elementary School,2024-25,426,410,410.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,54.0,72.0,74.0,86.0,59.0,65.0,410.0,True
Superior Elementary School,2024-25,429,416,415.5,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,55.0,76.0,65.0,70.0,82.0,68.0,416.0,True
University Hill Elementary School,2024-25,372,380,380.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,58.0,52.0,73.0,64.0,68.0,65.0,380.0,True
Whittier International Elementary,2024-25,291,267,265.5,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,46.0,42.0,42.0,39.0,46.0,52.0,267.0,True
Alicia Sanchez Elementary School,2025-26,290,276,276.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,37.0,51.0,34.0,53.0,52.0,49.0,276.0,True
Aspen Creek K-8,2025-26,443,473,472.5,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,67.0,74.0,74.0,80.0,87.0,91.0,473.0,True
BCSIS,2025-26,254,253,253.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,37.0,41.0,46.0,35.0,49.0,45.0,253.0,True
Bear Creek Elementary,2025-26,318,312,312.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,48.0,46.0,42.0,56.0,58.0,62.0,312.0,True
Birch Elementary,2025-26,276,261,261.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,38.0,42.0,34.0,44.0,54.0,49.0,261.0,True
Boulder Universal,2025-26,46,39,39.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,2.0,7.0,7.0,7.0,10.0,6.0,39.0,True
Coal Creek Elementary School,2025-26,283,269,268.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,39.0,37.0,45.0,39.0,49.0,60.0,269.0,True
Columbine Elementary School,2025-26,343,313,313.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,55.0,47.0,56.0,49.0,56.0,50.0,313.0,True
Community Montessori,2025-26,232,193,193.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,32.0,34.0,28.0,38.0,25.0,36.0,193.0,True
Creekside Elementary at Martin Park,2025-26,327,288,288.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,33.0,43.0,42.0,56.0,59.0,55.0,288.0,True
Crest View Elementary,2025-26,390,330,328.5,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,49.0,44.0,43.0,51.0,79.0,64.0,330.0,True
Douglass Elementary School,2025-26,282,281,280.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,44.0,40.0,46.0,59.0,49.0,43.0,281.0,True
Eisenhower Elementary School,2025-26,276,265,262.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,41.0,25.0,40.0,43.0,47.0,69.0,265.0,True
Eldorado K-8,2025-26,256,252,252.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,39.0,38.0,37.0,40.0,44.0,54.0,252.0,True
Emerald Elementary School,2025-26,347,365,365.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,69.0,65.0,38.0,56.0,67.0,70.0,365.0,True
Fireside Elementary School,2025-26,397,406,406.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,74.0,53.0,60.0,76.0,63.0,80.0,406.0,True
Flatirons Elementary School,2025-26,163,151,150.5,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,26.0,18.0,30.0,32.0,21.0,24.0,151.0,True
Foothill Elementary School,2025-26,418,434,432.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,67.0,62.0,78.0,81.0,76.0,70.0,434.0,True
Gold Hill Elementary School,2025-26,10,11,11.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,1.0,0.0,3.0,4.0,2.0,1.0,11.0,True
Heatherwood Elementary School,2025-26,233,225,223.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,33.0,39.0,39.0,28.0,47.0,39.0,225.0,True
High Peaks Elementary,2025-26,257,283,283.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,47.0,47.0,39.0,48.0,52.0,50.0,283.0,True
Horizons K-8 School,2025-26,238,245,245.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,37.0,38.0,41.0,44.0,42.0,43.0,245.0,True
Jamestown Elementary School,2025-26,17,17,17.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,4.0,4.0,2.0,3.0,3.0,1.0,17.0,True
Kohl Elementary School,2025-26,254,256,256.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,51.0,39.0,40.0,45.0,40.0,41.0,256.0,True
Lafayette Elementary School,2025-26,465,450,450.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,63.0,77.0,72.0,71.0,88.0,79.0,450.0,True
Louisville Elementary School,2025-26,417,382,381.5,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,46.0,64.0,60.0,59.0,75.0,78.0,382.0,True
Meadowlark School,2025-26,468,471,471.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,84.0,77.0,69.0,82.0,83.0,76.0,471.0,True
Mesa Elementary School,2025-26,230,224,224.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,28.0,35.0,31.0,37.0,46.0,47.0,224.0,True
Monarch K-8 School,2025-26,264,264,264.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,43.0,33.0,39.0,44.0,55.0,50.0,264.0,True
Nederland Elementary School,2025-26,172,166,166.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,25.0,31.0,23.0,26.0,32.0,29.0,166.0,True
Peak to Peak K-12 Charter,2025-26,445,450,450.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,72.0,72.0,72.0,78.0,78.0,78.0,450.0,True
Pioneer Elementary School,2025-26,397,371,371.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,63.0,60.0,62.0,62.0,59.0,65.0,371.0,True
Ryan Elementary School,2025-26,410,393,391.5,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,57.0,50.0,74.0,81.0,76.0,55.0,393.0,True
Superior Elementary School,2025-26,416,433,433.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,79.0,55.0,78.0,72.0,72.0,77.0,433.0,True
University Hill Elementary School,2025-26,380,368,368.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,58.0,52.0,57.0,71.0,65.0,65.0,368.0,True
Whittier International Elementary,2025-26,267,257,256.0,data/raw/bvsd/pupil_count/2025-26_cde_headcount_summary.pdf,1,,38.0,43.0,42.0,46.0,42.0,46.0,257.0,True
