vintage,school,ocr_label,base_year,capacity,enroll_base,official_base,ocr_check,enroll_exact,min_conf,n_ints,proj_2024-25,proj_2025-26,proj_2026-27,proj_2027-28,proj_2028-29,proj_2029-30,proj_2030-31,verified_visually
feb2024,Alicia Sanchez Elementary School,Sanchez,2023-24,418.0,285.0,285,True,True,0.95,20,310.0,318.0,335.0,334.0,334.0,,,False
feb2024,Superior Elementary School,Superior,2023-24,467.0,429.0,429,True,True,0.99,20,433.0,437.0,428.0,457.0,432.0,,,False
feb2024,Whittier International Elementary,Whittier,2023-24,442.0,291.0,291,True,True,0.9,20,273.0,250.0,240.0,236.0,229.0,,,False
feb2025,Aspen Creek K-8,AspenCreek,2024-25,461.0,443.0,443,True,True,0.88,20,,462.0,467.0,470.0,471.0,477.0,,False
feb2025,BCSIS,BCSIS-HP,2024-25,590.0,511.0,511,True,True,0.89,20,,509.0,516.0,508.0,509.0,512.0,,False
feb2025,Bear Creek Elementary,BearCreek,2024-25,492.0,318.0,318,True,True,0.95,20,,308.0,302.0,290.0,274.0,272.0,,True
feb2025,Birch Elementary,Birch,2024-25,418.0,275.0,276,True,False,0.88,20,,269.0,262.0,251.0,241.0,242.0,,False
feb2025,Coal Creek Elementary School,Coal Creek,2024-25,492.0,283.0,283,True,True,0.96,20,,268.0,248.0,240.0,242.0,247.0,,False
feb2025,Columbine Elementary School,Columbine,2024-25,590.0,343.0,343,True,True,0.97,20,,347.0,345.0,333.0,310.0,294.0,,False
feb2025,Community Montessori,Montessori,2024-25,392.0,232.0,232,True,True,0.86,20,,232.0,233.0,237.0,238.0,240.0,,False
feb2025,Creekside Elementary at Martin Park,Creekside,2024-25,369.0,327.0,327,True,True,1.0,20,,310.0,296.0,268.0,244.0,229.0,,False
feb2025,Crest View Elementary,CrestView,2024-25,615.0,390.0,390,True,True,0.97,20,,362.0,361.0,343.0,332.0,335.0,,False
feb2025,Douglass Elementary School,Douglass,2024-25,418.0,282.0,282,True,True,0.97,20,,272.0,273.0,270.0,263.0,260.0,,False
feb2025,Eisenhower Elementary School,Eisenhower,2024-25,492.0,276.0,276,True,True,0.99,20,,267.0,255.0,258.0,257.0,258.0,,False
feb2025,Eldorado K-8,Eldorado,2024-25,568.0,256.0,256,True,True,0.99,20,,250.0,242.0,239.0,247.0,256.0,,False
feb2025,Emerald Elementary School,Emerald,2024-25,393.0,348.0,347,True,False,0.84,20,,353.0,348.0,348.0,350.0,365.0,,False
feb2025,Fireside Elementary School,Fireside,2024-25,516.0,397.0,397,True,True,0.95,20,,396.0,375.0,358.0,333.0,326.0,,False
feb2025,Flatirons Elementary School,Flatirons,2024-25,320.0,163.0,163,True,True,0.93,20,,165.0,164.0,175.0,169.0,169.0,,False
feb2025,Foothill Elementary School,Foothill,2024-25,565.0,418.0,418,True,True,0.93,20,,422.0,418.0,402.0,376.0,353.0,,False
feb2025,Gold Hill Elementary School,Gold Hill,2024-25,49.0,10.0,10,True,True,0.96,20,,10.0,12.0,12.0,10.0,10.0,,False
feb2025,Heatherwood Elementary School,Heatherwood,2024-25,492.0,233.0,233,True,True,0.85,20,,228.0,224.0,213.0,215.0,211.0,,False
feb2025,Jamestown Elementary School,Jamestown,2024-25,25.0,17.0,17,True,True,0.95,20,,16.0,17.0,16.0,17.0,17.0,,False
feb2025,Kohl Elementary School,Kohl,2024-25,516.0,254.0,254,True,True,0.94,20,,247.0,245.0,237.0,227.0,227.0,,False
feb2025,Lafayette Elementary School,Lafayette,2024-25,565.0,465.0,465,True,True,0.96,20,,464.0,478.0,460.0,435.0,423.0,,False
feb2025,Louisville Elementary School,Louisville,2024-25,615.0,417.0,417,True,True,0.88,20,,407.0,388.0,367.0,370.0,366.0,,False
feb2025,Meadowlark School,Meadowlark,2024-25,441.0,468.0,468,True,True,0.93,20,,453.0,461.0,497.0,537.0,582.0,,False
feb2025,Mesa Elementary School,Mesa,2024-25,418.0,230.0,230,True,True,0.89,20,,230.0,220.0,218.0,216.0,224.0,,True
feb2025,Monarch K-8 School,Monarch,2024-25,381.0,264.0,264,True,True,1.0,20,,257.0,278.0,284.0,289.0,293.0,,False
feb2025,Nederland Elementary School,Nederland,2024-25,467.0,172.0,172,True,True,0.87,20,,177.0,179.0,177.0,181.0,184.0,,False
feb2025,Pioneer Elementary School,Pioneer,2024-25,541.0,397.0,397,True,True,0.99,20,,388.0,390.0,389.0,388.0,392.0,,False
feb2025,Ryan Elementary School,Ryan,2024-25,467.0,410.0,410,True,True,1.0,20,,406.0,424.0,416.0,417.0,418.0,,False
feb2025,Alicia Sanchez Elementary School,Sanchez,2024-25,418.0,290.0,290,True,True,0.94,20,,306.0,323.0,323.0,322.0,315.0,,False
feb2025,Superior Elementary School,Superior,2024-25,467.0,416.0,416,True,True,0.9,20,,419.0,399.0,397.0,402.0,374.0,,False
feb2025,University Hill Elementary School,UniversityHill,2024-25,590.0,380.0,380,True,True,0.96,20,,373.0,360.0,352.0,333.0,337.0,,False
feb2025,Whittier International Elementary,Whittier,2024-25,442.0,267.0,267,True,True,0.77,20,,252.0,240.0,241.0,229.0,223.0,,False
feb2026,Aspen Creek K-8,AspenCreek,2025-26,442.0,472.0,473,True,False,0.87,20,,,490.0,503.0,510.0,511.0,504.0,False
feb2026,BCSIS,BCSIS-HP,2025-26,590.0,536.0,536,True,True,0.98,20,,,529.0,514.0,520.0,525.0,526.0,False
feb2026,Bear Creek Elementary,BearCreek,2025-26,492.0,312.0,312,True,True,0.94,20,,,299.0,293.0,288.0,310.0,320.0,True
feb2026,Birch Elementary,Birch,2025-26,418.0,259.0,261,True,False,0.83,20,,,238.0,215.0,205.0,211.0,208.0,False
feb2026,Coal Creek Elementary School,CoalCreek,2025-26,492.0,269.0,269,True,True,0.92,20,,,256.0,252.0,256.0,251.0,248.0,False
feb2026,Columbine Elementary School,Columbine,2025-26,590.0,313.0,313,True,True,0.83,20,,,322.0,322.0,325.0,321.0,322.0,False
feb2026,Community Montessori,Montessori,2025-26,369.0,193.0,193,True,True,0.94,20,,,175.0,172.0,163.0,167.0,167.0,False
feb2026,Creekside Elementary at Martin Park,Creekside,2025-26,369.0,288.0,288,True,True,0.92,20,,,277.0,252.0,226.0,223.0,215.0,False
feb2026,Crest View Elementary,CrestView,2025-26,615.0,330.0,330,True,True,0.9,20,,,318.0,304.0,300.0,310.0,327.0,False
feb2026,Douglass Elementary School,Douglass,2025-26,418.0,281.0,281,True,True,0.91,20,,,278.0,278.0,272.0,277.0,284.0,False
feb2026,Eisenhower Elementary School,Eisenhower,2025-26,492.0,265.0,265,True,True,0.97,20,,,253.0,246.0,246.0,247.0,255.0,False
