fiscal_year,school_year,cde_school_code,school_name,bvsd_location_code,bvsd_location_label,fund,fund_label,sre,program,program_label,object,object_major_label,job_class,job_class_band,project,amount_raw_as_given,amount_usd,is_expenditure_object,source_file,sheet,sheet_row,amount_column
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,29390,293.90,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19677,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,10,General Operating Fund,00,1899,,0230,0200 Employee Benefits,407,401-490 Paraeducators & Aides,0000,29463,294.63,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19688,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0643,0600 Supplies,000,(none),0000,29700,297.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19740,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0230,0200 Employee Benefits,204,201-224 Teachers and Instructional Support,3897,29746,297.46,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19752,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0112,0100 Salaries,415,401-490 Paraeducators & Aides,3897,29815,298.15,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19759,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0150,0100 Salaries,426,401-490 Paraeducators & Aides,0000,30000,300.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19782,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0200,Art,0120,0100 Salaries,204,201-224 Teachers and Instructional Support,0000,30000,300.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19798,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0442,0400 Purchased Property Services,000,(none),0000,30000,300.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19799,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0810,0800 Other Objects,000,(none),0000,30000,300.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19800,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0339,0300 Purchased Professional and Technical Services,000,(none),0000,30000,300.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19810,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,10,General Operating Fund,00,2222,School Library Services,0252,0200 Employee Benefits,411,401-490 Paraeducators & Aides,0000,30043,300.43,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19893,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,22,Grants Fund,00,1700,Special Education,0213,0200 Employee Benefits,202,201-224 Teachers and Instructional Support,4027,30111,301.11,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19906,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,22,Grants Fund,00,1700,Special Education,0251,0200 Employee Benefits,202,201-224 Teachers and Instructional Support,8027,30183,301.83,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19920,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,1700,Special Education,0163,0100 Salaries,416,401-490 Paraeducators & Aides,3130,30218,302.18,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19924,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,10,General Operating Fund,00,0080,General Instructional Media,0230,0200 Employee Benefits,411,401-490 Paraeducators & Aides,0000,30225,302.25,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19926,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0339,0300 Purchased Professional and Technical Services,000,(none),0000,30400,304.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19950,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0585,0500 Other Purchased Services,000,(none),0000,31400,314.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,20096,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0221,0200 Employee Benefits,403,401-490 Paraeducators & Aides,0000,31481,314.81,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,20106,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0211,0200 Employee Benefits,201,201-224 Teachers and Instructional Support,0000,31497,314.97,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,20110,Amount
