fiscal_year,entity,measure,value_usd,source_file,sheet,note
FY2024,Heatherwood Elementary School (3882),expenditures_all_funds_obj0100-0999,4091538.55,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),expenditures_fund10_obj0100-0999,3171930.81,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),fund10_benefits_obj02xx,729686.68,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),fund10_prog0010_general_elementary_education,1578288.92,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),fund10_prog1700_special_education,281278.01,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),fund10_prog2400-2410_school_administration,361388.18,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),fund10_prog2600s_operations_maintenance,264822.47,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),fund10_salaries_obj01xx,2300444.32,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),total_fund06_all_objects,5518.78,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),total_fund10_all_objects,3171930.81,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),total_fund12_all_objects,20485.52,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),total_fund13_all_objects,224835.62,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),total_fund19_all_objects,264882.73,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),total_fund21_all_objects,141070.97,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),total_fund22_all_objects,163155.73,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),total_fund23_all_objects,95802.89,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Heatherwood Elementary School (3882),total_fund43_all_objects,3855.50,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),expenditures_all_funds_obj0100-0999,4174458.44,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),expenditures_fund10_obj0100-0999,3369354.33,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),fund10_benefits_obj02xx,791370.03,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),fund10_prog0010_general_elementary_education,1666274.02,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),fund10_prog1700_special_education,236133.76,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),fund10_prog2400-2410_school_administration,361634.94,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),fund10_prog2600s_operations_maintenance,276247.94,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),fund10_salaries_obj01xx,2429137.04,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),total_fund06_all_objects,80.78,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),total_fund10_all_objects,3369354.33,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),total_fund12_all_objects,12067.94,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),total_fund13_all_objects,247772.03,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),total_fund19_all_objects,92671.34,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Mesa Elementary School (5838),total_fund21_all_objects,126516.06,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
