school,level,october_year,enrollment,data_type,_source,_source_line
Eisenhower Elementary,elementary,2017,401,actual,data/raw/enrollmentdata/maps/index.html,762
Eisenhower Elementary,elementary,2018,383,actual,data/raw/enrollmentdata/maps/index.html,762
Eisenhower Elementary,elementary,2019,369,actual,data/raw/enrollmentdata/maps/index.html,762
Eisenhower Elementary,elementary,2020,293,actual,data/raw/enrollmentdata/maps/index.html,762
Eisenhower Elementary,elementary,2021,300,actual,data/raw/enrollmentdata/maps/index.html,762
Eisenhower Elementary,elementary,2022,304,actual,data/raw/enrollmentdata/maps/index.html,762
Eisenhower Elementary,elementary,2023,284,actual,data/raw/enrollmentdata/maps/index.html,762
Eisenhower Elementary,elementary,2024,268,actual,data/raw/enrollmentdata/maps/index.html,762
Eisenhower Elementary,elementary,2025,265,actual,data/raw/enrollmentdata/maps/index.html,762
Louisville Elementary,elementary,2014,584,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2015,582,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2016,573,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2017,543,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2018,498,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2019,474,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2020,381,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2021,391,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2022,393,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2023,390,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2024,385,actual,data/raw/enrollmentdata/maps/index.html,764
Louisville Elementary,elementary,2025,381,actual,data/raw/enrollmentdata/maps/index.html,764
University Hill Elementary,elementary,2014,375,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2015,380,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2016,406,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2017,420,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2018,448,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2019,451,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2020,367,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2021,389,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2022,393,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2023,395,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2024,383,actual,data/raw/enrollmentdata/maps/index.html,768
University Hill Elementary,elementary,2025,370,actual,data/raw/enrollmentdata/maps/index.html,768
Whittier International Elementary,elementary,2014,414,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2015,415,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2016,422,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2017,390,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2018,370,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2019,347,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2020,280,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2021,286,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2022,284,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2023,268,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2024,260,actual,data/raw/enrollmentdata/maps/index.html,770
Whittier International Elementary,elementary,2025,258,actual,data/raw/enrollmentdata/maps/index.html,770
Bear Creek Elementary,elementary,2014,417,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2015,441,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2016,438,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2017,448,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2018,425,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2019,402,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2020,342,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2021,346,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2022,340,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2023,299,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2024,318,actual,data/raw/enrollmentdata/maps/index.html,772
Bear Creek Elementary,elementary,2025,312,actual,data/raw/enrollmentdata/maps/index.html,772
Birch Elementary,elementary,2014,383,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2015,407,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2016,407,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2017,410,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2018,375,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2019,384,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2020,322,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2021,315,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2022,292,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2023,272,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2024,261,actual,data/raw/enrollmentdata/maps/index.html,774
Birch Elementary,elementary,2025,257,actual,data/raw/enrollmentdata/maps/index.html,774
BCSIS,elementary,2014,307,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2015,301,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2016,308,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2017,304,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2018,306,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2019,306,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2020,286,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2021,286,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2022,284,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2023,264,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2024,255,actual,data/raw/enrollmentdata/maps/index.html,776
BCSIS,elementary,2025,251,actual,data/raw/enrollmentdata/maps/index.html,776
Emerald Elementary,elementary,2014,407,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2015,415,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2016,427,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2017,435,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2018,440,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2019,425,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2020,367,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2021,381,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2022,386,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2023,373,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2024,369,actual,data/raw/enrollmentdata/maps/index.html,778
Emerald Elementary,elementary,2025,367,actual,data/raw/enrollmentdata/maps/index.html,778
Escuela Bilingue Pioneer,elementary,2014,467,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2015,480,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2016,478,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2017,472,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2018,445,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2019,430,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2020,359,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2021,374,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2022,380,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2023,371,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2024,369,actual,data/raw/enrollmentdata/maps/index.html,780
Escuela Bilingue Pioneer,elementary,2025,371,actual,data/raw/enrollmentdata/maps/index.html,780
Fireside Elementary,elementary,2014,453,actual,data/raw/enrollmentdata/maps/index.html,782
Fireside Elementary,elementary,2015,466,actual,data/raw/enrollmentdata/maps/index.html,782
