file,url,meeting_date,agenda_item_title,retrieved_utc,md5,pages,notes
enrollment_update_02_enrollment_summary_bvsd_2018-01-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ATRTM566E8C5/$file/02%20Enrollment%20Summary%20-%20BVSD.pdf,2018-01-09,6.2 Update of the October 2017 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:17Z,a5e447268fdb87911358eb0dde1e602e,1,item ATAVSZ7E6193; original name: 02 Enrollment Summary - BVSD.pdf
enrollment_update_03_enrollment_summary_by_school_2018-01-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ATRTM766E8D2/$file/03%20Enrollment%20Summary%20by%20School%20(1).pdf,2018-01-09,6.2 Update of the October 2017 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:20Z,14f81f42aece02f96efa2e3db9037143,3,item ATAVSZ7E6193; original name: 03 Enrollment Summary by School (1).pdf
enrollment_update_04_out_of_district_students_2017_p9_2018-01-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ATRTM966E8DE/$file/04%20Out%20of%20District%20Students%202017(P9).pdf,2018-01-09,6.2 Update of the October 2017 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:23Z,713f7b6db957ceaa429234079a0a6621,1,item ATAVSZ7E6193; original name: 04 Out of District Students 2017(P9).pdf
enrollment_update_05_births_by_attendance_area_2018-01-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ATRTMB66E8EE/$file/05%20Births%20by%20Attendance%20Area.pdf,2018-01-09,6.2 Update of the October 2017 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:26Z,6a54b1dc261a8fa303aee58b474e22ae,1,item ATAVSZ7E6193; original name: 05 Births by Attendance Area.pdf
enrollment_update_06_compare_projection_to_head_count_2018-01-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ATRTMD66E8F8/$file/06%20Compare%20Projection%20to%20Head%20Count.pdf,2018-01-09,6.2 Update of the October 2017 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:29Z,7647cf7f37dfa1467603b2c01dbc2c1b,2,item ATAVSZ7E6193; original name: 06 Compare Projection to Head Count.pdf
enrollment_update_boe_enrollment_slides_2018-01-09.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/ATRTMF66E979/$file/BOE%20Enrollment%20Slides%20%5BCompatibility%20Mode%5D.pdf,2018-01-09,6.2 Update of the October 2017 Enrollment Count and an Analysis of Trends Observed,2026-09-04T02:43:32Z,3f427ca8d8af8f84a72de5e774ddd779,9,item ATAVSZ7E6193; original name: BOE Enrollment Slides [Compatibility Mode].pdf
enrollment_update_births_by_attendance_area_2018-12-11.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/B762HA762279/$file/Births%20by%20Attendance%20Area%20(1).pdf,2018-12-11,6.3 District-Level Enrollment 2018,2026-09-04T02:43:36Z,bf514e11ff1baf8d322c9ee027920fdb,1,item B7627C754100; original name: Births by Attendance Area (1).pdf
enrollment_update_boe_enrollment_slides_2018-12-11.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/B78M5X590DA9/$file/BOE%20Enrollment%20Slides%2012-4-2018%20(2).pdf,2018-12-11,6.3 District-Level Enrollment 2018,2026-09-04T02:43:53Z,311750b59a246e40cd0de0a8f62fe6e2,11,item B7627C754100; original name: BOE Enrollment Slides 12-4-2018 (2).pdf
enrollment_update_compare_projection_to_head_count_2018-12-11.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/B762HE7622D7/$file/Compare%20Projection%20to%20Head%20Count%20(1).pdf,2018-12-11,6.3 District-Level Enrollment 2018,2026-09-04T02:43:38Z,e7c2ae6d39f7f69aecd24892a936fe4c,2,item B7627C754100; original name: Compare Projection to Head Count (1).pdf
enrollment_update_enrollment_2018_agenda_item_2018-12-11.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/B762LS7695C9/$file/Enrollment%202018%20Agenda%20Item.pdf,2018-12-11,6.3 District-Level Enrollment 2018,2026-09-04T02:43:50Z,0c04a8ecb177d5d0ea4f75bb69e011dc,2,item B7627C754100; original name: Enrollment 2018 Agenda Item.pdf
enrollment_update_enrollment_summary_bvsd_2018-12-11.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/B762HG7622E0/$file/Enrollment%20Summary%20BVSD.pdf,2018-12-11,6.3 District-Level Enrollment 2018,2026-09-04T02:43:41Z,25b2d54133fe5d2dbf6f95d7bb511744,1,item B7627C754100; original name: Enrollment Summary BVSD.pdf
enrollment_update_enrollment_summary_by_school_2018-12-11.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/B762HJ7622EA/$file/Enrollment%20Summary%20by%20School%20(2).pdf,2018-12-11,6.3 District-Level Enrollment 2018,2026-09-04T02:43:44Z,225b13f4e414aa1b7622e720d40c5d4d,3,item B7627C754100; original name: Enrollment Summary by School (2).pdf
enrollment_update_out_of_district_students_2018_p9_2018-12-11.pdf,https://go.boarddocs.com/co/bvsd/Board.nsf/pfiles/B762HL7622F1/$file/Out%20of%20District%20Students%202018(P9).pdf,2018-12-11,6.3 District-Level Enrollment 2018,2026-09-04T02:43:47Z,09d24be89dd255cd11ec4026f2d11c79,1,item B7627C754100; original name: Out of District Students 2018(P9).pdf
