P12_005NA,P12_009NA,P12_047NA,P12_019N,P12_007N,P12_028NA,P12_035N,P12_023N,P12_043NA,P12_047N,P12_024NA,P12_001NA,P12_011N,P12_020NA,P12_040N,P12_016NA,P12_008N,P12_039NA,P12_024N,P12_012N,P12_035NA,P12_036N,P12_048N,P12_012NA,P12_031NA,P12_006NA,P12_029NA,P12_009N,P12_025NA,P12_048NA,P12_049N,P12_013N,P12_021NA,P12_044NA,P12_001N,P12_037N,P12_025N,P12_002NA,P12_040NA,P12_041N,P12_017NA,P12_036NA,P12_038N,P12_002N,P12_032NA,P12_026N,P12_014N,P12_013NA,P12_030N,P12_042N,P12_003NA,P12_039N,P12_026NA,P12_027N,P12_007NA,P12_049NA,P12_022NA,P12_015N,P12_003N,P12_045NA,P12_031N,P12_043N,P12_041NA,NAME,P12_014NA,P12_028N,P12_016N,P12_037NA,P12_018NA,P12_033NA,P12_004N,P12_020N,P12_010NA,P12_032N,P12_044N,P12_004NA,P12_017N,P12_005N,P12_008NA,P12_027NA,P12_029N,P12_045N,P12_023NA,P12_046NA,P12_033N,P12_042NA,P12_021N,GEO_ID,P12_015NA,P12_006N,P12_019NA,P12_038NA,P12_018N,P12_034N,P12_046N,P12_034NA,P12_011NA,P12_022N,P12_030NA,P12_010N
,,,16,10,,18,23,,21,,,27,,31,,1,,11,31,,21,25,,,,,7,,,13,23,,,983,24,14,,,33,,,33,488,,495,27,,17,14,,36,,16,,,,34,18,,12,33,,Block Group 2; Census Tract 132.08; Boulder County; Colorado,,27,26,,,,26,12,,0,19,,39,27,,,28,33,,,4,,26,1500000US080130132082,,25,,,29,7,30,,,27,,9
,,,42,30,,51,58,,70,,,78,,74,,18,,42,79,,68,54,,,,,15,,,108,53,,,2457,75,62,,,86,,,70,1189,,1268,73,,43,27,,64,,35,,,,54,45,,14,59,,Block Group 3; Census Tract 132.08; Boulder County; Colorado,,49,62,,,,39,37,,15,54,,91,68,,,54,45,,,4,,53,1500000US080130132083,,47,,,39,41,108,,,77,,27
,,,25,17,,26,22,,23,,,19,,39,,10,,12,35,,23,7,,,,,0,,,9,35,,,920,25,11,,,29,,,36,465,,455,31,,25,18,,31,,14,,,,22,14,,5,15,,Block Group 4; Census Tract 132.08; Boulder County; Colorado,,25,36,,,,34,8,,2,20,,35,23,,,28,14,,,1,,8,1500000US080130132084,,19,,,17,17,23,,,12,,20
,,,30,32,,72,18,,25,,,98,,66,,10,,12,94,,73,12,,,,,9,,,10,82,,,1921,88,1,,,44,,,82,979,,942,66,,46,16,,39,,57,,,,76,44,,29,43,,Block Group 1; Census Tract 132.10; Boulder County; Colorado,,58,48,,,,64,23,,19,10,,65,62,,,56,18,,,8,,22,1500000US080130132101,,42,,,23,31,40,,,19,,39
,,,41,29,,67,21,,15,,,74,,54,,21,,6,75,,90,11,,,,,12,,,8,79,,,2131,88,8,,,57,,,73,1095,,1036,96,,49,28,,69,,60,,,,79,75,,24,47,,Block Group 2; Census Tract 132.10; Boulder County; Colorado,,57,69,,,,58,10,,20,18,,61,90,,,76,30,,,6,,29,1500000US080130132102,,61,,,19,42,47,,,39,,43
,,,24,27,,47,24,,23,,,71,,50,,13,,11,63,,57,23,,,,,2,,,10,79,,,1553,60,7,,,58,,,55,806,,747,48,,21,19,,47,,38,,,,27,51,,16,24,,Block Group 3; Census Tract 132.10; Boulder County; Colorado,,55,52,,,,54,17,,3,14,,49,65,,,42,15,,,7,,15,1500000US080130132103,,20,,,22,21,42,,,24,,41
,,,50,27,,29,37,,34,,,37,,100,,7,,7,26,,33,8,,,,,14,,,3,34,,,2062,46,9,,,101,,,62,1034,,1028,62,,60,48,,90,,27,,,,86,44,,51,45,,Block Group 1; Census Tract 132.11; Boulder County; Colorado,,36,86,,,,63,33,,8,26,,103,87,,,80,35,,,14,,37,1500000US080130132111,,68,,,38,24,68,,,50,,29
,,,15,5,,4,13,,9,,,7,,22,,1,,5,10,,5,12,,,,,2,,,6,15,,,533,12,6,,,26,,,18,274,,259,8,,13,13,,13,,8,,,,16,13,,2,20,,Block Group 2; Census Tract 132.11; Boulder County; Colorado,,12,17,,,,14,10,,0,17,,26,15,,,14,14,,,2,,22,1500000US080130132112,,14,,,12,4,13,,,21,,7
,,,10,27,,37,8,,7,,,41,,37,,13,,0,35,,42,3,,,,,10,,,4,45,,,1302,56,0,,,32,,,46,670,,632,47,,54,11,,55,,28,,,,55,39,,17,9,,Block Group 3; Census Tract 132.11; Boulder County; Colorado,,37,35,,,,48,6,,12,1,,42,78,,,84,11,,,7,,10,1500000US080130132113,,67,,,15,28,14,,,6,,33
,,,21,6,,83,1,,16,,,90,,35,,11,,3,114,,84,4,,,,,7,,,10,85,,,1777,61,7,,,63,,,78,856,,921,62,,29,34,,67,,68,,,,56,63,,30,22,,Block Group 4; Census Tract 132.11; Boulder County; Colorado,,67,34,,,,42,15,,6,23,,45,46,,,49,20,,,23,,24,1500000US080130132114,,27,,,24,26,23,,,19,,54
,,,27,13,,22,4,,13,,,18,,48,,2,,9,13,,17,4,,,,,2,,,4,17,,,890,17,0,,,40,,,39,432,,458,26,,23,23,,49,,10,,,,42,11,,9,13,,Block Group 5; Census Tract 132.11; Boulder County; Colorado,,18,43,,,,22,10,,9,18,,48,31,,,30,21,,,2,,8,1500000US080130132115,,23,,,19,15,14,,,29,,15
,,,10,5,,12,11,,12,,,6,,16,,5,,12,14,,7,4,,,,,2,,,4,13,,,478,9,5,,,29,,,11,243,,235,9,,5,6,,13,,15,,,,8,6,,3,19,,Block Group 6; Census Tract 132.11; Boulder County; Colorado,,13,8,,,,22,4,,5,7,,23,19,,,9,10,,,2,,14,1500000US080130132116,,11,,,16,7,17,,,16,,4
,,,22,7,,17,22,,18,,,23,,26,,2,,13,31,,19,6,,,,,5,,,13,20,,,880,35,12,,,37,,,31,440,,440,35,,12,10,,31,,21,,,,23,11,,10,15,,Block Group 1; Census Tract 132.12; Boulder County; Colorado,,23,33,,,,28,10,,2,13,,21,32,,,26,20,,,4,,18,1500000US080130132121,,21,,,11,9,42,,,23,,17
,,,24,20,,33,12,,19,,,35,,83,,6,,4,46,,44,12,,,,,19,,,12,54,,,1584,62,8,,,58,,,61,808,,776,56,,40,12,,72,,21,,,,65,43,,30,33,,Block Group 2; Census Tract 132.12; Boulder County; Colorado,,61,76,,,,62,12,,7,9,,66,85,,,46,27,,,5,,15,1500000US080130132122,,37,,,13,10,19,,,26,,24
,,,29,3,,28,9,,27,,,23,,51,,7,,26,43,,33,25,,,,,9,,,19,38,,,1415,34,7,,,65,,,65,658,,757,42,,33,37,,57,,33,,,,59,23,,13,29,,Block Group 3; Census Tract 132.12; Boulder County; Colorado,,28,61,,,,49,14,,6,22,,59,31,,,59,32,,,10,,18,1500000US080130132123,,36,,,18,17,34,,,36,,18
,,,10,1,,46,6,,23,,,67,,14,,2,,11,38,,29,26,,,,,11,,,47,36,,,736,19,22,,,11,,,21,363,,373,19,,1,16,,7,,18,,,,15,9,,2,12,,Block Group 4; Census Tract 132.12; Boulder County; Colorado,,11,21,,,,11,7,,1,7,,18,2,,,5,4,,,5,,6,1500000US080130132124,,3,,,11,32,16,,,12,,25
,,,40,20,,13,25,,30,,,23,,93,,14,,17,39,,62,21,,,,,4,,,9,84,,,2331,92,7,,,77,,,100,1139,,1192,85,,69,15,,107,,72,,,,108,74,,24,40,,Block Group 1; Census Tract 132.14; Boulder County; Colorado,,95,85,,,,94,26,,10,25,,84,112,,,123,31,,,1,,40,1500000US080130132141,,60,,,25,22,61,,,53,,20
,,,56,44,,147,16,,26,,,155,,115,,7,,12,124,,111,21,,,,,28,,,21,114,,,3177,93,1,,,101,,,148,1615,,1562,157,,71,55,,130,,50,,,,129,68,,33,38,,Block Group 2; Census Tract 132.14; Boulder County; Colorado,,86,119,,,,107,34,,16,15,,85,120,,,114,44,,,11,,23,1500000US080130132142,,85,,,40,82,34,,,30,,61
,,,10,16,,24,11,,12,,,31,,22,,6,,9,14,,24,15,,,,,5,,,9,16,,,862,29,4,,,29,,,31,435,,427,35,,32,14,,30,,21,,,,28,16,,12,14,,Block Group 1; Census Tract 132.15; Boulder County; Colorado,,31,30,,,,23,13,,4,11,,45,39,,,23,9,,,1,,4,1500000US080130132151,,38,,,18,7,23,,,11,,13
,,,18,35,,146,19,,27,,,175,,80,,19,,8,143,,145,10,,,,,24,,,11,128,,,3116,95,4,,,103,,,110,1548,,1568,90,,63,33,,117,,90,,,,116,90,,34,32,,Block Group 2; Census Tract 132.15; Boulder County; Colorado,,120,87,,,,115,13,,28,21,,69,174,,,117,37,,,28,,31,1500000US080130132152,,77,,,17,80,41,,,17,,79
,,,24,25,,27,7,,7,,,30,,80,,5,,8,44,,41,8,,,,,4,,,12,54,,,1810,64,5,,,50,,,93,909,,901,84,,58,13,,96,,46,,,,89,60,,18,18,,Block Group 3; Census Tract 132.15; Boulder County; Colorado,,75,89,,,,79,11,,6,22,,53,111,,,99,18,,,5,,18,1500000US080130132153,,57,,,8,31,14,,,26,,18
,,,22,7,,41,13,,42,,,47,,14,,3,,14,47,,43,23,,,,,12,,,34,27,,,1079,39,12,,,27,,,35,502,,577,40,,9,15,,41,,10,,,,37,15,,8,15,,Block Group 1; Census Tract 133.02; Boulder County; Colorado,,12,39,,,,8,19,,8,33,,34,31,,,35,21,,,3,,20,1500000US080130133021,,4,,,8,16,53,,,29,,14
,,,14,1,,25,10,,11,,,27,,31,,5,,8,30,,17,6,,,,,1,,,10,18,,,774,33,4,,,38,,,21,390,,384,27,,25,12,,21,,22,,,,24,30,,5,14,,Block Group 2; Census Tract 133.02; Boulder County; Colorado,,18,33,,,,22,8,,6,4,,29,27,,,15,15,,,8,,11,1500000US080130133022,,19,,,18,9,18,,,17,,7
,,,19,10,,35,11,,16,,,32,,27,,13,,6,51,,48,8,,,,,2,,,8,25,,,813,20,4,,,26,,,25,405,,408,23,,15,12,,28,,17,,,,22,9,,6,13,,Block Group 3; Census Tract 133.02; Boulder County; Colorado,,20,31,,,,15,6,,4,10,,38,21,,,18,14,,,1,,13,1500000US080130133023,,21,,,10,18,19,,,13,,10
,,,21,5,,32,11,,14,,,24,,37,,7,,1,39,,39,8,,,,,2,,,3,34,,,934,25,2,,,37,,,34,448,,486,23,,14,12,,27,,17,,,,36,18,,12,37,,Block Group 4; Census Tract 133.02; Boulder County; Colorado,,12,28,,,,29,11,,3,15,,33,20,,,41,25,,,0,,27,1500000US080130133024,,12,,,18,8,34,,,37,,10
,,,39,17,,37,26,,33,,,43,,52,,5,,8,66,,48,23,,,,,6,,,19,49,,,1566,56,18,,,67,,,61,729,,837,46,,31,23,,54,,45,,,,47,30,,12,59,,Block Group 5; Census Tract 133.02; Boulder County; Colorado,,46,54,,,,45,25,,3,23,,48,34,,,34,38,,,10,,32,1500000US080130133025,,23,,,25,23,40,,,32,,11
,,,30,22,,40,12,,13,,,46,,47,,6,,3,88,,50,2,,,,,12,,,2,58,,,1490,67,7,,,59,,,52,770,,720,59,,28,15,,36,,29,,,,32,42,,17,39,,Block Group 1; Census Tract 133.05; Boulder County; Colorado,,54,31,,,,43,18,,6,26,,58,45,,,49,27,,,10,,33,1500000US080130133051,,45,,,15,19,33,,,42,,23
,,,30,23,,61,27,,56,,,59,,58,,14,,12,84,,93,24,,,,,9,,,28,79,,,1839,64,12,,,73,,,57,868,,971,53,,16,31,,47,,70,,,,58,52,,25,47,,Block Group 2; Census Tract 133.05; Boulder County; Colorado,,30,58,,,,42,17,,12,19,,56,58,,,35,31,,,8,,27,1500000US080130133052,,21,,,26,19,67,,,23,,28
,,,30,16,,118,10,,4,,,126,,49,,27,,3,80,,56,11,,,,,10,,,8,75,,,1716,63,2,,,50,,,54,887,,829,44,,17,23,,45,,53,,,,47,64,,22,30,,Block Group 3; Census Tract 133.05; Boulder County; Colorado,,44,51,,,,58,15,,6,14,,59,42,,,46,20,,,11,,18,1500000US080130133053,,26,,,21,60,25,,,25,,38
,,,37,29,,75,27,,38,,,83,,57,,10,,21,87,,75,50,,,,,12,,,94,80,,,2166,83,41,,,63,,,43,1053,,1113,75,,34,27,,51,,54,,,,59,56,,14,51,,Block Group 1; Census Tract 133.06; Boulder County; Colorado,,58,57,,,,57,22,,8,24,,65,67,,,70,38,,,12,,41,1500000US080130133061,,29,,,21,32,62,,,33,,44
,,,36,34,,104,17,,24,,,92,,71,,14,,11,112,,85,27,,,,,12,,,21,117,,,2414,107,14,,,75,,,92,1179,,1235,71,,41,20,,61,,75,,,,75,56,,36,43,,Block Group 2; Census Tract 133.06; Boulder County; Colorado,,93,84,,,,73,25,,11,32,,64,82,,,99,28,,,19,,28,1500000US080130133062,,62,,,29,42,29,,,34,,37
,,,41,35,,91,30,,55,,,90,,37,,15,,26,81,,77,50,,,,,15,,,46,70,,,2075,68,29,,,60,,,65,1003,,1072,56,,34,18,,63,,64,,,,46,47,,18,43,,Block Group 1; Census Tract 133.07; Boulder County; Colorado,,46,40,,,,55,23,,11,27,,68,69,,,59,30,,,3,,34,1500000US080130133071,,36,,,17,46,61,,,46,,34
,,,25,10,,51,27,,22,,,71,,44,,6,,12,73,,71,23,,,,,17,,,26,68,,,1728,73,2,,,59,,,54,860,,868,61,,39,23,,41,,49,,,,43,61,,19,32,,Block Group 2; Census Tract 133.07; Boulder County; Colorado,,59,58,,,,53,14,,8,24,,59,56,,,53,37,,,6,,35,1500000US080130133072,,28,,,25,24,31,,,21,,35
,,,20,9,,30,27,,31,,,28,,31,,2,,16,53,,38,21,,,,,2,,,20,33,,,1061,43,13,,,34,,,38,521,,540,32,,3,19,,27,,25,,,,25,32,,9,24,,Block Group 1; Census Tract 133.08; Boulder County; Colorado,,19,35,,,,16,13,,0,19,,34,19,,,23,34,,,1,,25,1500000US080130133081,,16,,,20,16,35,,,31,,20
,,,45,25,,63,30,,46,,,73,,51,,2,,23,84,,76,25,,,,,6,,,47,73,,,1794,58,21,,,66,,,45,904,,890,52,,16,32,,43,,50,,,,52,31,,18,34,,Block Group 2; Census Tract 133.08; Boulder County; Colorado,,25,49,,,,31,36,,3,26,,58,45,,,25,42,,,11,,48,1500000US080130133082,,24,,,20,44,44,,,48,,28
,,,15,2,,23,5,,9,,,23,,20,,3,,12,23,,31,9,,,,,0,,,8,28,,,680,36,6,,,31,,,24,326,,354,25,,12,16,,12,,9,,,,27,15,,12,20,,Block Group 3; Census Tract 133.08; Boulder County; Colorado,,14,24,,,,9,9,,1,9,,24,15,,,11,8,,,4,,15,1500000US080130133083,,11,,,18,3,32,,,13,,4
,,,36,24,,107,8,,17,,,117,,42,,9,,4,89,,79,7,,,,,22,,,6,63,,,1723,61,3,,,34,,,54,884,,839,49,,23,20,,38,,47,,,,49,61,,19,23,,Block Group 1; Census Tract 134.01; Boulder County; Colorado,,71,38,,,,45,16,,7,14,,53,74,,,58,23,,,14,,14,1500000US080130134011,,31,,,15,43,32,,,25,,39
,,,26,8,,33,6,,4,,,46,,23,,8,,3,58,,45,7,,,,,4,,,4,42,,,877,39,6,,,30,,,33,497,,380,46,,6,7,,20,,15,,,,35,11,,2,11,,Block Group 2; Census Tract 134.01; Boulder County; Colorado,,18,32,,,,14,12,,6,14,,46,11,,,21,10,,,7,,17,1500000US080130134012,,19,,,14,12,13,,,17,,16
,,,22,9,,59,11,,9,,,58,,43,,6,,6,70,,42,6,,,,,2,,,6,42,,,1191,45,7,,,41,,,39,600,,591,52,,11,24,,53,,31,,,,43,25,,19,26,,Block Group 3; Census Tract 134.01; Boulder County; Colorado,,22,48,,,,28,14,,4,21,,44,21,,,28,14,,,9,,28,1500000US080130134013,,9,,,12,12,27,,,18,,25
,,,28,30,,48,9,,16,,,62,,43,,4,,6,57,,55,8,,,,,7,,,3,67,,,1330,51,4,,,42,,,42,681,,649,42,,27,8,,42,,39,,,,46,35,,15,17,,Block Group 1; Census Tract 134.02; Boulder County; Colorado,,42,36,,,,42,11,,15,16,,38,45,,,57,12,,,9,,15,1500000US080130134021,,31,,,17,28,14,,,21,,28
,,,19,10,,92,7,,9,,,54,,30,,10,,3,91,,49,4,,,,,7,,,1,50,,,1183,42,4,,,42,,,43,576,,607,31,,25,15,,37,,33,,,,32,26,,9,24,,Block Group 2; Census Tract 134.02; Boulder County; Colorado,,25,29,,,,22,10,,16,7,,37,31,,,37,15,,,7,,11,1500000US080130134022,,23,,,15,22,23,,,11,,43
,,,40,32,,70,67,,77,,,74,,66,,8,,41,80,,72,49,,,,,9,,,29,93,,,2485,75,20,,,91,,,75,1191,,1294,68,,53,34,,108,,49,,,,81,58,,19,61,,Block Group 3; Census Tract 134.02; Boulder County; Colorado,,47,77,,,,49,26,,2,42,,68,79,,,62,70,,,12,,58,1500000US080130134023,,37,,,25,26,105,,,86,,15
,,,23,8,,11,12,,17,,,23,,18,,2,,12,22,,16,1,,,,,6,,,3,5,,,714,27,5,,,31,,,27,356,,358,20,,7,17,,25,,9,,,,34,11,,12,27,,Block Group 4; Census Tract 134.02; Boulder County; Colorado,,11,25,,,,27,13,,3,10,,27,15,,,20,25,,,4,,12,1500000US080130134024,,14,,,11,14,23,,,28,,1
,,,38,21,,90,15,,20,,,123,,82,,17,,8,111,,90,4,,,,,11,,,9,92,,,2334,91,3,,,57,,,85,1219,,1115,78,,50,26,,67,,64,,,,82,80,,32,29,,Block Group 5; Census Tract 134.02; Boulder County; Colorado,,82,72,,,,120,12,,17,21,,76,86,,,72,40,,,18,,28,1500000US080130134025,,59,,,16,43,26,,,20,,51
,,,13,6,,33,7,,5,,,21,,16,,2,,13,35,,33,8,,,,,2,,,3,32,,,705,22,6,,,26,,,29,350,,355,30,,14,11,,28,,15,,,,21,13,,7,10,,Block Group 1; Census Tract 135.03; Boulder County; Colorado,,21,13,,,,17,8,,5,5,,19,38,,,15,14,,,6,,5,1500000US080130135031,,15,,,9,7,22,,,16,,9
,,,15,25,,53,18,,25,,,86,,35,,9,,3,67,,61,13,,,,,10,,,15,58,,,1589,51,7,,,49,,,53,819,,770,42,,43,17,,52,,43,,,,59,45,,25,34,,Block Group 2; Census Tract 135.03; Boulder County; Colorado,,51,43,,,,58,14,,16,15,,42,77,,,49,18,,,10,,19,1500000US080130135032,,42,,,14,24,18,,,14,,52
,,,40,40,,93,24,,28,,,86,,52,,9,,11,100,,90,11,,,,,17,,,15,83,,,2107,72,1,,,52,,,85,1079,,1028,80,,46,29,,54,,69,,,,56,65,,19,31,,Block Group 3; Census Tract 135.03; Boulder County; Colorado,,71,61,,,,79,20,,11,10,,50,86,,,87,22,,,17,,17,1500000US080130135033,,51,,,22,30,34,,,29,,52
,,,15,15,,51,11,,11,,,41,,37,,8,,5,53,,42,4,,,,,5,,,6,30,,,1031,33,5,,,37,,,42,505,,526,42,,22,5,,28,,29,,,,25,32,,6,24,,Block Group 4; Census Tract 135.03; Boulder County; Colorado,,44,34,,,,32,8,,5,15,,32,35,,,42,11,,,5,,18,1500000US080130135034,,15,,,15,9,18,,,16,,13
,,,13,13,,30,8,,7,,,43,,27,,7,,4,34,,25,4,,,,,4,,,6,27,,,812,30,4,,,16,,,31,426,,386,34,,14,8,,33,,22,,,,24,25,,0,5,,Block Group 1; Census Tract 135.05; Boulder County; Colorado,,27,39,,,,21,5,,10,2,,24,26,,,30,19,,,11,,5,1500000US080130135051,,22,,,11,10,19,,,13,,20
,,,19,14,,53,25,,38,,,60,,31,,10,,19,51,,51,27,,,,,6,,,29,48,,,1321,49,18,,,27,,,37,634,,687,45,,25,9,,25,,40,,,,34,37,,16,16,,Block Group 2; Census Tract 135.05; Boulder County; Colorado,,52,27,,,,41,15,,3,20,,23,50,,,46,15,,,10,,7,1500000US080130135052,,26,,,6,30,38,,,19,,34
,,,17,25,,74,20,,30,,,78,,40,,13,,14,114,,86,31,,,,,19,,,31,60,,,1817,53,16,,,46,,,50,934,,883,59,,33,26,,48,,53,,,,52,69,,14,31,,Block Group 3; Census Tract 135.05; Boulder County; Colorado,,49,57,,,,65,11,,8,11,,38,66,,,55,25,,,8,,18,1500000US080130135053,,31,,,13,32,49,,,32,,47
,,,32,22,,42,49,,85,,,37,,76,,7,,44,38,,61,37,,,,,15,,,27,71,,,2225,62,19,,,65,,,77,1057,,1168,81,,56,15,,91,,52,,,,80,50,,21,62,,Block Group 1; Census Tract 135.06; Boulder County; Colorado,,69,78,,,,57,32,,10,19,,65,86,,,68,66,,,7,,37,1500000US080130135061,,48,,,23,19,81,,,68,,18
,,,59,38,,68,43,,43,,,77,,97,,20,,7,72,,64,19,,,,,9,,,30,89,,,2660,92,24,,,99,,,99,1291,,1369,97,,54,49,,84,,60,,,,80,57,,42,63,,Block Group 2; Census Tract 135.06; Boulder County; Colorado,,82,106,,,,80,24,,7,36,,100,80,,,110,52,,,8,,40,1500000US080130135062,,52,,,31,35,76,,,62,,44
,,,31,16,,50,10,,20,,,62,,51,,15,,4,64,,60,14,,,,,6,,,2,67,,,1432,59,3,,,43,,,55,753,,679,50,,28,25,,34,,18,,,,59,40,,10,25,,Block Group 1; Census Tract 135.07; Boulder County; Colorado,,33,48,,,,43,21,,4,28,,39,45,,,50,18,,,12,,25,1500000US080130135071,,30,,,23,12,28,,,31,,21
,,,26,22,,64,33,,37,,,61,,66,,11,,19,73,,83,20,,,,,19,,,11,97,,,2252,83,9,,,64,,,72,1104,,1148,74,,66,29,,83,,67,,,,78,74,,25,37,,Block Group 2; Census Tract 135.07; Boulder County; Colorado,,79,70,,,,91,20,,20,28,,54,97,,,75,32,,,13,,26,1500000US080130135072,,56,,,28,41,53,,,41,,25
,,,35,36,,60,4,,24,,,90,,142,,16,,12,105,,104,12,,,,,22,,,5,93,,,2902,103,8,,,90,,,120,1427,,1475,108,,86,31,,135,,77,,,,123,77,,35,57,,Block Group 1; Census Tract 135.08; Boulder County; Colorado,,100,129,,,,89,28,,19,32,,93,133,,,117,30,,,18,,26,1500000US080130135081,,92,,,27,37,41,,,23,,58
,,,48,40,,70,57,,76,,,78,,99,,11,,20,78,,65,37,,,,,23,,,25,91,,,2697,77,6,,,104,,,83,1313,,1384,75,,57,48,,72,,63,,,,61,49,,23,87,,Block Group 2; Census Tract 135.08; Boulder County; Colorado,,58,111,,,,69,38,,14,41,,99,70,,,63,57,,,12,,52,1500000US080130135082,,66,,,43,45,108,,,95,,33
,,,14,10,,13,17,,12,,,19,,18,,0,,3,20,,27,8,,,,,4,,,4,32,,,804,29,4,,,30,,,34,386,,418,26,,13,14,,34,,22,,,,29,31,,10,8,,Block Group 3; Census Tract 135.08; Boulder County; Colorado,,19,25,,,,18,7,,7,18,,26,17,,,36,17,,,8,,22,1500000US080130135083,,29,,,2,11,26,,,22,,9
,,,36,20,,48,24,,37,,,41,,73,,11,,23,49,,35,29,,,,,4,,,9,49,,,1573,52,14,,,62,,,51,782,,791,49,,30,23,,61,,26,,,,59,46,,11,35,,Block Group 4; Census Tract 135.08; Boulder County; Colorado,,28,48,,,,39,13,,2,38,,65,52,,,38,25,,,7,,17,1500000US080130135084,,26,,,23,25,46,,,42,,32
,,,42,16,,26,46,,35,,,28,,69,,16,,24,27,,41,10,,,,,5,,,15,43,,,1721,35,10,,,66,,,73,847,,874,57,,30,36,,58,,29,,,,58,30,,17,57,,Block Group 1; Census Tract 136.01; Boulder County; Colorado,,50,60,,,,47,31,,10,42,,73,59,,,63,39,,,4,,52,1500000US080130136011,,22,,,34,14,55,,,56,,11
,,,49,18,,35,20,,27,,,22,,79,,4,,6,26,,29,14,,,,,6,,,10,46,,,1625,50,6,,,67,,,71,785,,840,61,,31,34,,79,,30,,,,72,22,,21,43,,Block Group 2; Census Tract 136.01; Boulder County; Colorado,,46,67,,,,50,21,,3,25,,79,51,,,60,34,,,3,,39,1500000US080130136012,,25,,,36,13,36,,,41,,18
,,,14,1,,13,12,,14,,,20,,21,,4,,3,15,,24,2,,,,,3,,,8,20,,,579,25,6,,,7,,,19,293,,286,20,,5,8,,34,,13,,,,32,18,,1,7,,Block Group 3; Census Tract 136.01; Boulder County; Colorado,,19,22,,,,16,0,,2,12,,21,16,,,24,13,,,3,,14,1500000US080130136013,,7,,,7,3,9,,,15,,7
,,,21,7,,5,18,,17,,,16,,13,,0,,7,13,,13,6,,,,,1,,,5,20,,,597,25,2,,,34,,,9,316,,281,18,,6,9,,24,,4,,,,23,4,,3,20,,Block Group 1; Census Tract 136.02; Boulder County; Colorado,,4,25,,,,7,12,,7,14,,31,13,,,6,16,,,1,,12,1500000US080130136021,,8,,,18,7,33,,,39,,1
,,,5,0,,8,19,,13,,,2,,14,,0,,4,9,,10,7,,,,,0,,,2,12,,,371,7,2,,,12,,,6,178,,193,12,,7,8,,14,,7,,,,13,5,,0,13,,Block Group 2; Census Tract 136.02; Boulder County; Colorado,,5,17,,,,7,13,,2,7,,17,4,,,9,20,,,0,,13,1500000US080130136022,,5,,,6,0,22,,,13,,0
,,,28,8,,22,8,,11,,,11,,18,,2,,4,26,,23,5,,,,,1,,,6,20,,,705,30,5,,,27,,,20,377,,328,31,,4,12,,25,,20,,,,31,7,,6,23,,Block Group 1; Census Tract 137.03; Boulder County; Colorado,,17,18,,,,14,27,,1,14,,42,16,,,10,14,,,1,,24,1500000US080130137031,,12,,,14,4,15,,,23,,5
,,,15,1,,10,4,,5,,,17,,14,,2,,9,20,,14,3,,,,,2,,,3,17,,,508,18,1,,,25,,,10,268,,240,16,,6,11,,15,,12,,,,25,6,,2,18,,Block Group 2; Census Tract 137.03; Boulder County; Colorado,,3,21,,,,4,12,,0,17,,20,12,,,2,23,,,4,,20,1500000US080130137032,,5,,,9,7,18,,,27,,3
,,,52,3,,32,41,,32,,,31,,58,,9,,25,45,,37,12,,,,,5,,,5,30,,,1488,42,11,,,63,,,40,785,,703,43,,17,39,,46,,13,,,,54,39,,14,41,,Block Group 1; Census Tract 137.04; Boulder County; Colorado,,18,71,,,,25,23,,6,30,,85,30,,,34,41,,,4,,47,1500000US080130137041,,15,,,32,12,67,,,61,,8
,,,11,10,,12,26,,23,,,10,,34,,1,,11,16,,11,6,,,,,1,,,5,31,,,812,22,0,,,26,,,32,415,,397,32,,16,17,,32,,18,,,,41,26,,3,20,,Block Group 2; Census Tract 137.04; Boulder County; Colorado,,19,27,,,,8,11,,1,18,,27,24,,,19,19,,,2,,29,1500000US080130137042,,14,,,14,10,32,,,40,,5
,,,24,3,,22,18,,12,,,31,,29,,7,,16,22,,26,11,,,,,1,,,4,25,,,925,29,13,,,51,,,31,484,,441,29,,19,24,,23,,9,,,,24,13,,1,18,,Block Group 3; Census Tract 137.04; Boulder County; Colorado,,18,33,,,,14,16,,5,16,,54,22,,,23,30,,,2,,29,1500000US080130137043,,16,,,29,7,31,,,34,,11
,,,42,10,,50,27,,21,,,41,,84,,11,,7,58,,44,12,,,,,8,,,6,63,,,1997,72,5,,,74,,,75,1012,,985,76,,50,18,,93,,42,,,,91,39,,14,52,,Block Group 4; Census Tract 137.04; Boulder County; Colorado,,61,103,,,,57,26,,7,33,,72,78,,,69,37,,,2,,39,1500000US080130137044,,35,,,33,21,48,,,63,,28
,,,26,1,,30,6,,6,,,30,,20,,1,,6,51,,39,2,,,,,7,,,5,41,,,783,25,2,,,23,,,29,435,,348,26,,8,15,,33,,15,,,,36,17,,2,19,,Block Group 1; Census Tract 137.05; Boulder County; Colorado,,11,21,,,,24,15,,6,9,,37,15,,,21,11,,,1,,17,1500000US080130137051,,8,,,22,7,11,,,17,,9
,,,26,9,,26,6,,3,,,24,,36,,0,,4,30,,32,4,,,,,3,,,2,33,,,790,27,1,,,39,,,32,412,,378,39,,12,17,,30,,14,,,,41,14,,5,21,,Block Group 2; Census Tract 137.05; Boulder County; Colorado,,16,41,,,,18,13,,1,11,,23,21,,,12,20,,,0,,22,1500000US080130137052,,10,,,14,7,11,,,13,,7
