Vintage 2024 Prepared October 2025,,,,,,
id,countyfips,placefips,municipalityname,year,totalpopulation,countyplace
179,51,48555,Marble,1980,30,5148555
180,51,52570,Mount Crested Butte,1980,272,5152570
181,51,59830,Pitkin,1980,59,5159830
182,51,99990,Unincorporated Gunnison County,1980,3584,5199990
183,53,0,HINSDALE COUNTY,1980,408,5300000
184,53,42330,Lake City,1980,206,5342330
185,53,99990,Unincorporated Hinsdale County,1980,202,5399990
186,55,0,HUERFANO COUNTY,1980,6440,5500000
187,55,44100,La Veta,1980,611,5544100
188,55,82350,Walsenburg,1980,3945,5582350
189,55,99990,Unincorporated Huerfano County,1980,1884,5599990
190,57,0,JACKSON COUNTY,1980,1863,5700000
191,57,82130,Walden,1980,947,5782130
192,57,99990,Unincorporated Jackson County,1980,916,5799990
193,59,0,JEFFERSON COUNTY,1980,371753,5900000
194,59,3455,Arvada (Part),1980,83347,5903455
195,59,8070,Bow Mar (Part),1980,240,5908070
196,59,9280,Broomfield (Part),1980,749,5909280
197,59,23135,Edgewater,1980,4766,5923135
198,59,30835,Golden,1980,12237,5930835
199,59,42495,Lakeside,1980,19,5942495
200,59,43000,Lakewood,1980,113808,5943000
201,59,45255,Littleton (Part),1980,,5945255
202,59,52075,Morrison,1980,478,5952075
203,59,52350,Mountain View,1980,584,5952350
204,59,75640,Superior (Part),1980,0,5975640
205,59,83835,Westminster (Part),1980,18165,5983835
206,59,84440,Wheat Ridge,1980,30293,5984440
207,59,99990,Unincorporated Jefferson County,1980,107067,5999990
208,61,0,KIOWA COUNTY,1980,1936,6100000
209,61,22145,Eads,1980,878,6122145
210,61,34740,Haswell,1980,126,6134740
211,61,69700,Sheridan Lake,1980,87,6169700
212,61,99990,Unincorporated Kiowa County,1980,845,6199990
213,63,0,KIT CARSON COUNTY,1980,7599,6300000
214,63,6530,Bethune,1980,149,6306530
215,63,10600,Burlington,1980,3107,6310600
216,63,26765,Flagler,1980,550,6326765
217,63,69040,Seibert,1980,180,6369040
218,63,74485,Stratton,1980,705,6374485
219,63,81690,Vona,1980,94,6381690
220,63,99990,Unincorporated Kit Carson County,1980,2814,6399990
221,65,0,LAKE COUNTY,1980,8830,6500000
222,65,44320,Leadville,1980,3879,6544320
223,65,99990,Unincorporated Lake County,1980,4951,6599990
224,67,0,LA PLATA COUNTY,1980,27195,6700000
225,67,5265,Bayfield,1980,724,6705265
226,67,22035,Durango,1980,11649,6722035
227,67,38535,Ignacio,1980,667,6738535
228,67,99990,Unincorporated La Plata County,1980,14155,6799990
229,69,0,LARIMER COUNTY,1980,149184,6900000
230,69,6255,Berthoud (Part),1980,2362,6906255
231,69,25115,Estes Park,1980,2703,6925115
232,69,27425,Fort Collins,1980,65092,6927425
