P14_023NA,P14_025NA,P14_027NA,P14_029NA,P14_008NA,P14_006NA,P14_040NA,P14_004NA,P14_042NA,P14_002NA,P14_021NA,P14_020N,P14_040N,P14_024N,P14_012N,P14_032N,P14_028N,P14_016N,P14_004N,P14_036N,P14_008N,P14_013NA,P14_034NA,P14_015NA,P14_036NA,P14_017NA,P14_038NA,P14_019NA,P14_030NA,NAME,P14_011NA,P14_032NA,P14_031N,P14_035N,P14_023N,P14_011N,P14_043N,P14_039N,P14_027N,P14_015N,P14_003N,P14_019N,P14_007N,P14_024NA,P14_026NA,P14_028NA,P14_007NA,P14_005NA,P14_003NA,P14_020NA,P14_041NA,P14_001NA,P14_022NA,P14_043NA,P14_042N,P14_030N,P14_002N,P14_034N,P14_022N,P14_010N,P14_006N,P14_038N,P14_026N,P14_014N,P14_018N,P14_012NA,P14_035NA,P14_014NA,P14_037NA,P14_016NA,P14_039NA,P14_018NA,P14_031NA,P14_010NA,P14_033NA,GEO_ID,P14_041N,P14_013N,P14_001N,P14_033N,P14_009NA,P14_021N,P14_017N,P14_005N,P14_037N,P14_025N,P14_009N,P14_029N
,,,,,,,,,,,9,9,3,13,3,16,10,8,10,8,,,,,,,,,Block Group 3; Census Tract 132.12; Boulder County; Colorado,,,9,9,166,6,10,14,4,5,9,10,4,,,,,,,,,,,,3,6,142,11,1,7,2,14,7,6,17,,,,,,,,,,,1500000US080130132123,10,6,308,6,,2,4,0,15,3,15,4
,,,,,,,,,,,0,0,1,1,1,1,0,2,1,1,,,,,,,,,Block Group 4; Census Tract 132.12; Boulder County; Colorado,,,0,2,37,4,1,0,5,0,2,0,2,,,,,,,,,,,,1,6,26,2,0,4,3,0,9,0,3,,,,,,,,,,,1500000US080130132124,1,0,63,2,,1,2,0,0,2,1,2
,,,,,,,,,,,24,23,10,21,24,21,21,6,25,23,,,,,,,,,Block Group 1; Census Tract 132.14; Boulder County; Colorado,,,10,18,383,16,12,25,15,11,19,21,7,,,,,,,,,,,,12,23,360,38,12,21,22,21,16,32,15,,,,,,,,,,,1500000US080130132141,21,24,743,23,,8,24,20,21,10,13,15
,,,,,,,,,,,29,21,8,25,11,10,25,16,27,25,,,,,,,,,Block Group 2; Census Tract 132.14; Boulder County; Colorado,,,16,22,354,28,14,28,10,27,8,28,19,,,,,,,,,,,,19,15,424,16,18,12,16,19,12,25,28,,,,,,,,,,,1500000US080130132142,22,21,778,31,,26,22,9,30,10,17,13
,,,,,,,,,,,12,7,4,7,6,1,7,1,3,2,,,,,,,,,Block Group 1; Census Tract 132.15; Boulder County; Colorado,,,7,1,119,5,1,16,4,13,1,13,3,,,,,,,,,,,,11,8,132,7,6,2,7,10,6,5,13,,,,,,,,,,,1500000US080130132151,9,6,251,4,,10,8,4,2,6,7,6
,,,,,,,,,,,16,23,24,18,24,19,41,13,24,26,,,,,,,,,Block Group 2; Census Tract 132.15; Boulder County; Colorado,,,25,22,424,30,20,15,23,33,13,21,28,,,,,,,,,,,,14,29,491,29,24,26,17,27,12,34,40,,,,,,,,,,,1500000US080130132152,25,36,915,22,,11,30,19,15,12,15,20
,,,,,,,,,,,21,23,6,18,23,7,20,7,25,8,,,,,,,,,Block Group 3; Census Tract 132.15; Boulder County; Colorado,,,14,16,296,16,9,26,9,27,13,20,15,,,,,,,,,,,,9,11,332,14,14,24,13,23,11,24,16,,,,,,,,,,,1500000US080130132153,9,15,628,16,,11,25,12,21,13,13,11
,,,,,,,,,,,1,4,1,0,3,3,8,2,12,2,,,,,,,,,Block Group 1; Census Tract 133.02; Boulder County; Colorado,,,2,6,74,2,6,5,4,5,2,1,2,,,,,,,,,,,,2,1,65,8,1,3,4,2,1,6,2,,,,,,,,,,,1500000US080130133021,0,8,139,2,,6,4,5,7,1,1,4
,,,,,,,,,,,2,8,6,0,2,5,5,12,3,4,,,,,,,,,Block Group 2; Census Tract 133.02; Boulder County; Colorado,,,6,4,85,3,3,13,7,1,9,11,3,,,,,,,,,,,,2,3,99,3,1,8,2,3,1,7,6,,,,,,,,,,,1500000US080130133022,4,5,184,4,,0,9,4,2,3,7,3
,,,,,,,,,,,6,8,0,3,1,3,7,0,1,0,,,,,,,,,Block Group 3; Census Tract 133.02; Boulder County; Colorado,,,8,5,76,1,2,0,4,4,1,3,4,,,,,,,,,,,,4,2,76,5,8,2,3,6,5,4,12,,,,,,,,,,,1500000US080130133023,7,3,152,1,,2,3,1,1,5,9,8
,,,,,,,,,,,5,4,0,6,3,8,7,6,3,5,,,,,,,,,Block Group 4; Census Tract 133.02; Boulder County; Colorado,,,0,10,96,8,2,2,1,0,7,2,4,,,,,,,,,,,,10,2,84,1,1,1,1,18,3,1,5,,,,,,,,,,,1500000US080130133024,8,10,180,7,,4,2,0,9,5,9,0
,,,,,,,,,,,8,10,12,5,14,10,4,9,13,9,,,,,,,,,Block Group 5; Census Tract 133.02; Boulder County; Colorado,,,9,2,168,10,4,8,9,17,2,13,7,,,,,,,,,,,,8,8,149,6,6,4,8,5,6,5,2,,,,,,,,,,,1500000US080130133025,13,5,317,9,,11,3,4,8,8,17,6
,,,,,,,,,,,8,14,0,9,8,3,5,7,10,11,,,,,,,,,Block Group 1; Census Tract 133.05; Boulder County; Colorado,,,4,5,177,8,11,7,11,13,8,24,8,,,,,,,,,,,,6,17,197,15,7,8,11,12,6,6,13,,,,,,,,,,,1500000US080130133051,7,9,374,14,,15,12,8,7,9,7,11
,,,,,,,,,,,10,0,19,10,8,16,13,6,5,2,,,,,,,,,Block Group 2; Census Tract 133.05; Boulder County; Colorado,,,10,10,176,6,9,8,8,11,9,4,12,,,,,,,,,,,,16,3,196,9,12,8,11,10,17,10,7,,,,,,,,,,,1500000US080130133052,8,12,372,4,,11,12,14,1,10,16,5
,,,,,,,,,,,10,6,8,4,8,15,13,14,7,9,,,,,,,,,Block Group 3; Census Tract 133.05; Boulder County; Colorado,,,13,11,182,9,15,8,9,9,14,6,11,,,,,,,,,,,,7,9,206,5,12,15,13,7,11,5,10,,,,,,,,,,,1500000US080130133053,3,4,388,8,,4,11,12,16,10,21,6
,,,,,,,,,,,9,8,6,10,14,16,8,9,18,12,,,,,,,,,Block Group 1; Census Tract 133.06; Boulder County; Colorado,,,12,14,230,9,7,11,9,9,10,11,14,,,,,,,,,,,,7,15,238,14,16,13,14,9,14,17,9,,,,,,,,,,,1500000US080130133061,15,20,468,6,,13,13,9,15,9,13,11
,,,,,,,,,,,25,9,20,18,15,21,20,12,19,19,,,,,,,,,Block Group 2; Census Tract 133.06; Boulder County; Colorado,,,17,20,344,11,20,17,8,15,16,20,4,,,,,,,,,,,,16,16,307,12,17,15,11,19,13,13,17,,,,,,,,,,,1500000US080130133062,15,17,651,21,,17,17,13,29,13,10,24
,,,,,,,,,,,14,15,15,15,8,15,13,8,17,11,,,,,,,,,Block Group 1; Census Tract 133.07; Boulder County; Colorado,,,19,7,221,14,9,14,15,14,15,7,8,,,,,,,,,,,,9,6,242,10,13,4,5,20,14,17,15,,,,,,,,,,,1500000US080130133071,5,15,463,6,,22,10,11,5,5,11,7
,,,,,,,,,,,12,14,8,13,5,11,10,9,15,9,,,,,,,,,Block Group 2; Census Tract 133.07; Boulder County; Colorado,,,7,9,219,14,10,12,2,7,12,5,7,,,,,,,,,,,,9,16,208,11,3,7,19,4,14,13,11,,,,,,,,,,,1500000US080130133072,13,14,427,17,,7,12,14,14,14,10,14
,,,,,,,,,,,3,1,7,2,3,6,5,9,4,5,,,,,,,,,Block Group 1; Census Tract 133.08; Boulder County; Colorado,,,9,6,79,5,6,1,4,3,4,5,7,,,,,,,,,,,,3,5,92,11,0,4,7,1,4,4,8,,,,,,,,,,,1500000US080130133081,1,1,171,1,,9,6,5,1,4,0,1
,,,,,,,,,,,9,7,9,1,11,9,9,9,3,9,,,,,,,,,Block Group 2; Census Tract 133.08; Boulder County; Colorado,,,8,6,134,10,5,3,6,18,6,10,7,,,,,,,,,,,,13,2,156,2,16,5,7,4,14,8,5,,,,,,,,,,,1500000US080130133082,6,6,290,3,,9,4,2,10,12,6,1
,,,,,,,,,,,5,3,1,3,2,3,2,2,3,1,,,,,,,,,Block Group 3; Census Tract 133.08; Boulder County; Colorado,,,4,3,58,1,6,2,0,1,2,3,3,,,,,,,,,,,,6,3,52,1,1,0,3,2,0,4,3,,,,,,,,,,,1500000US080130133083,7,3,110,3,,1,5,5,2,5,4,2
,,,,,,,,,,,15,10,18,16,14,8,9,8,15,2,,,,,,,,,Block Group 1; Census Tract 134.01; Boulder County; Colorado,,,8,12,218,6,11,4,10,16,6,5,17,,,,,,,,,,,,8,14,235,14,13,9,10,9,8,21,11,,,,,,,,,,,1500000US080130134011,9,10,453,20,,11,18,20,8,3,12,15
,,,,,,,,,,,2,0,3,2,4,0,4,0,6,3,,,,,,,,,Block Group 2; Census Tract 134.01; Boulder County; Colorado,,,3,3,62,5,0,3,6,2,0,10,7,,,,,,,,,,,,2,6,63,0,3,1,3,2,3,3,7,,,,,,,,,,,1500000US080130134012,3,0,125,1,,5,2,1,10,3,3,4
,,,,,,,,,,,7,5,4,7,5,5,0,5,9,8,,,,,,,,,Block Group 3; Census Tract 134.01; Boulder County; Colorado,,,9,4,111,9,10,2,5,6,1,1,3,,,,,,,,,,,,9,0,92,7,3,3,8,5,10,2,1,,,,,,,,,,,1500000US080130134013,4,8,203,2,,6,5,8,3,7,1,6
,,,,,,,,,,,9,15,10,12,11,10,9,7,13,4,,,,,,,,,Block Group 1; Census Tract 134.02; Boulder County; Colorado,,,6,12,180,10,12,7,4,9,7,11,10,,,,,,,,,,,,3,13,183,8,16,10,7,10,8,10,11,,,,,,,,,,,1500000US080130134021,5,11,363,5,,14,6,4,14,7,6,7
,,,,,,,,,,,6,7,8,7,7,8,4,10,7,1,,,,,,,,,Block Group 2; Census Tract 134.02; Boulder County; Colorado,,,6,6,129,7,3,12,6,7,0,8,5,,,,,,,,,,,,6,5,112,5,5,4,2,15,3,5,9,,,,,,,,,,,1500000US080130134022,6,7,241,1,,5,8,9,4,8,3,6
,,,,,,,,,,,15,16,12,11,8,7,19,8,3,9,,,,,,,,,Block Group 3; Census Tract 134.02; Boulder County; Colorado,,,11,20,230,5,10,21,15,19,16,7,11,,,,,,,,,,,,9,15,255,10,15,7,11,9,6,16,15,,,,,,,,,,,1500000US080130134023,16,10,485,5,,17,15,12,20,9,17,8
,,,,,,,,,,,1,0,4,5,2,1,4,1,11,5,,,,,,,,,Block Group 4; Census Tract 134.02; Boulder County; Colorado,,,3,3,59,0,8,4,0,2,0,6,7,,,,,,,,,,,,4,2,75,0,5,6,2,1,1,2,7,,,,,,,,,,,1500000US080130134024,3,3,134,3,,3,4,1,5,3,11,1
,,,,,,,,,,,28,13,10,20,14,21,19,20,11,28,,,,,,,,,Block Group 5; Census Tract 134.02; Boulder County; Colorado,,,24,13,300,34,16,17,13,14,14,20,15,,,,,,,,,,,,16,7,366,18,12,18,11,19,14,15,11,,,,,,,,,,,1500000US080130134025,20,17,666,21,,9,21,20,11,6,20,16
,,,,,,,,,,,1,3,7,0,7,3,7,3,11,4,,,,,,,,,Block Group 1; Census Tract 135.03; Boulder County; Colorado,,,6,0,72,3,4,3,0,6,1,6,3,,,,,,,,,,,,3,4,89,2,1,9,6,0,0,13,8,,,,,,,,,,,1500000US080130135031,8,8,161,2,,5,4,0,2,5,1,2
,,,,,,,,,,,9,14,6,9,13,9,12,15,10,16,,,,,,,,,Block Group 2; Census Tract 135.03; Boulder County; Colorado,,,8,8,211,8,17,10,5,15,7,17,11,,,,,,,,,,,,8,14,247,15,14,11,9,10,7,13,16,,,,,,,,,,,1500000US080130135032,19,22,458,5,,11,15,3,6,16,14,11
,,,,,,,,,,,18,8,14,20,10,8,19,11,15,16,,,,,,,,,Block Group 3; Census Tract 135.03; Boulder County; Colorado,,,11,23,292,9,16,19,22,20,5,20,19,,,,,,,,,,,,3,11,321,13,15,8,13,13,13,19,13,,,,,,,,,,,1500000US080130135033,19,17,613,19,,25,11,17,23,12,26,20
,,,,,,,,,,,4,2,7,5,13,6,6,7,10,6,,,,,,,,,Block Group 4; Census Tract 135.03; Boulder County; Colorado,,,7,6,143,10,3,9,1,4,8,7,3,,,,,,,,,,,,3,8,129,7,12,4,4,11,9,7,4,,,,,,,,,,,1500000US080130135034,11,9,272,5,,3,9,10,8,6,7,11
,,,,,,,,,,,7,6,5,6,5,4,5,2,14,6,,,,,,,,,Block Group 1; Census Tract 135.05; Boulder County; Colorado,,,3,5,93,0,0,5,2,2,3,10,7,,,,,,,,,,,,0,6,107,2,7,7,1,4,4,7,5,,,,,,,,,,,1500000US080130135051,3,6,200,10,,6,6,12,5,7,2,3
,,,,,,,,,,,7,8,12,13,13,9,8,6,4,7,,,,,,,,,Block Group 2; Census Tract 135.05; Boulder County; Colorado,,,12,8,179,5,6,12,10,8,3,10,8,,,,,,,,,,,,10,6,168,10,7,5,6,15,5,9,9,,,,,,,,,,,1500000US080130135052,5,17,347,13,,7,8,14,9,4,11,8
,,,,,,,,,,,10,18,12,13,11,20,10,11,12,14,,,,,,,,,Block Group 3; Census Tract 135.05; Boulder County; Colorado,,,14,11,204,17,3,6,7,18,22,8,11,,,,,,,,,,,,11,3,256,11,9,14,12,10,9,12,13,,,,,,,,,,,1500000US080130135053,9,8,460,14,,16,18,13,11,5,7,7
,,,,,,,,,,,15,18,18,13,17,16,18,3,8,12,,,,,,,,,Block Group 1; Census Tract 135.06; Boulder County; Colorado,,,10,15,266,18,17,19,6,20,13,25,7,,,,,,,,,,,,4,13,263,21,9,13,13,16,9,17,8,,,,,,,,,,,1500000US080130135061,19,21,529,18,,13,10,14,8,3,1,11
,,,,,,,,,,,20,25,7,11,14,10,14,15,26,19,,,,,,,,,Block Group 2; Census Tract 135.06; Boulder County; Colorado,,,21,10,348,19,16,12,14,15,6,19,22,,,,,,,,,,,,26,14,307,18,17,11,4,28,13,24,13,,,,,,,,,,,1500000US080130135062,17,9,655,15,,21,18,10,28,16,20,18
,,,,,,,,,,,9,9,5,7,7,0,4,11,12,14,,,,,,,,,Block Group 1; Census Tract 135.07; Boulder County; Colorado,,,7,13,139,8,6,11,5,4,3,16,7,,,,,,,,,,,,4,7,174,8,5,7,10,13,5,6,5,,,,,,,,,,,1500000US080130135071,8,15,313,4,,11,16,9,4,3,7,8
,,,,,,,,,,,28,30,4,26,19,11,23,16,22,13,,,,,,,,,Block Group 2; Census Tract 135.07; Boulder County; Colorado,,,9,17,312,18,15,17,15,16,9,10,20,,,,,,,,,,,,10,12,340,9,13,19,19,14,16,15,18,,,,,,,,,,,1500000US080130135072,19,12,652,19,,9,31,10,13,21,15,20
,,,,,,,,,,,36,30,15,14,11,20,32,19,20,22,,,,,,,,,Block Group 1; Census Tract 135.08; Boulder County; Colorado,,,18,20,415,10,7,26,22,30,10,27,21,,,,,,,,,,,,28,24,427,25,15,22,16,24,13,17,29,,,,,,,,,,,1500000US080130135081,30,23,842,26,,21,31,11,28,7,21,21
,,,,,,,,,,,19,19,12,18,13,13,11,10,14,8,,,,,,,,,Block Group 2; Census Tract 135.08; Boulder County; Colorado,,,11,11,264,22,10,21,14,7,3,27,15,,,,,,,,,,,,13,7,294,16,16,13,15,9,12,10,20,,,,,,,,,,,1500000US080130135082,17,21,558,16,,24,21,6,13,12,8,11
,,,,,,,,,,,15,2,3,3,4,7,0,8,9,11,,,,,,,,,Block Group 3; Census Tract 135.08; Boulder County; Colorado,,,5,10,100,4,8,5,5,8,8,9,3,,,,,,,,,,,,2,6,105,9,8,0,7,4,4,4,5,,,,,,,,,,,1500000US080130135083,6,1,205,1,,2,4,5,4,3,0,3
,,,,,,,,,,,9,7,2,7,7,5,8,7,6,13,,,,,,,,,Block Group 4; Census Tract 135.08; Boulder County; Colorado,,,7,12,133,11,1,15,10,13,14,8,11,,,,,,,,,,,,10,5,183,4,11,4,13,11,4,10,9,,,,,,,,,,,1500000US080130135084,8,13,316,7,,9,8,1,5,5,4,2
,,,,,,,,,,,8,6,2,8,9,12,11,4,17,6,,,,,,,,,Block Group 1; Census Tract 136.01; Boulder County; Colorado,,,11,8,189,9,3,8,6,14,1,5,9,,,,,,,,,,,,14,8,174,14,10,14,5,13,3,13,9,,,,,,,,,,,1500000US080130136011,16,13,363,14,,6,8,11,11,6,10,8
,,,,,,,,,,,9,7,6,10,9,11,13,2,5,5,,,,,,,,,Block Group 2; Census Tract 136.01; Boulder County; Colorado,,,11,13,188,15,4,19,8,7,5,9,5,,,,,,,,,,,,17,9,166,10,6,6,6,13,4,8,7,,,,,,,,,,,1500000US080130136012,5,10,354,6,,12,13,4,19,1,14,11
,,,,,,,,,,,2,5,6,8,0,1,0,2,3,6,,,,,,,,,Block Group 3; Census Tract 136.01; Boulder County; Colorado,,,6,7,62,0,1,0,0,1,0,0,10,,,,,,,,,,,,0,4,58,4,1,2,5,6,0,5,5,,,,,,,,,,,1500000US080130136013,0,8,120,5,,0,2,1,4,6,0,4
,,,,,,,,,,,3,3,1,2,2,0,8,3,5,3,,,,,,,,,Block Group 1; Census Tract 136.02; Boulder County; Colorado,,,0,0,23,1,0,3,0,0,0,2,1,,,,,,,,,,,,3,2,39,0,6,1,0,1,2,0,3,,,,,,,,,,,1500000US080130136021,0,3,62,0,,1,2,0,0,1,0,0
,,,,,,,,,,,1,2,3,2,1,0,1,2,3,0,,,,,,,,,Block Group 2; Census Tract 136.02; Boulder County; Colorado,,,0,2,28,3,0,4,1,0,0,2,1,,,,,,,,,,,,0,3,21,1,0,1,1,1,3,0,2,,,,,,,,,,,1500000US080130136022,1,1,49,0,,0,2,1,2,0,1,1
,,,,,,,,,,,2,2,7,4,4,2,7,1,2,4,,,,,,,,,Block Group 1; Census Tract 137.03; Boulder County; Colorado,,,5,4,57,0,2,1,2,3,0,7,0,,,,,,,,,,,,4,5,57,2,5,3,6,0,5,1,3,,,,,,,,,,,1500000US080130137031,1,3,114,1,,3,2,0,2,4,3,2
,,,,,,,,,,,2,2,1,1,0,4,3,0,1,2,,,,,,,,,Block Group 2; Census Tract 137.03; Boulder County; Colorado,,,2,1,25,1,0,4,1,3,2,2,1,,,,,,,,,,,,2,1,28,0,1,0,2,0,4,3,1,,,,,,,,,,,1500000US080130137032,0,3,53,0,,0,0,1,0,2,0,0
,,,,,,,,,,,3,3,4,1,2,3,6,3,6,8,,,,,,,,,Block Group 1; Census Tract 137.04; Boulder County; Colorado,,,0,10,96,5,4,5,3,6,9,3,11,,,,,,,,,,,,10,5,112,6,3,8,4,6,0,5,9,,,,,,,,,,,1500000US080130137041,9,7,208,3,,0,6,12,6,3,3,8
,,,,,,,,,,,7,6,2,1,1,5,9,3,5,0,,,,,,,,,Block Group 2; Census Tract 137.04; Boulder County; Colorado,,,6,1,75,5,3,4,0,3,9,5,6,,,,,,,,,,,,0,10,82,7,3,1,7,2,3,5,2,,,,,,,,,,,1500000US080130137042,6,4,157,1,,7,3,1,4,8,1,1
,,,,,,,,,,,7,10,2,0,8,1,3,2,8,4,,,,,,,,,Block Group 3; Census Tract 137.04; Boulder County; Colorado,,,6,3,70,0,1,7,1,1,1,5,4,,,,,,,,,,,,0,0,68,5,0,0,0,2,2,3,4,,,,,,,,,,,1500000US080130137043,2,6,138,2,,3,9,6,5,3,10,2
,,,,,,,,,,,18,12,2,10,6,14,11,9,15,12,,,,,,,,,Block Group 4; Census Tract 137.04; Boulder County; Colorado,,,10,7,236,12,7,16,8,18,2,9,16,,,,,,,,,,,,7,7,219,14,3,16,2,12,12,16,8,,,,,,,,,,,1500000US080130137044,22,13,455,22,,7,20,10,21,6,7,16
,,,,,,,,,,,1,0,3,5,1,4,2,5,4,3,,,,,,,,,Block Group 1; Census Tract 137.05; Boulder County; Colorado,,,4,5,57,6,1,5,6,2,2,7,3,,,,,,,,,,,,1,0,65,4,1,2,5,2,2,4,0,,,,,,,,,,,1500000US080130137051,3,4,122,6,,0,3,2,6,0,8,0
,,,,,,,,,,,2,3,1,3,5,2,1,3,4,6,,,,,,,,,Block Group 2; Census Tract 137.05; Boulder County; Colorado,,,3,2,59,6,2,5,5,1,1,2,10,,,,,,,,,,,,3,2,72,1,5,2,0,4,0,3,6,,,,,,,,,,,1500000US080130137052,4,10,131,3,,4,6,0,1,6,1,3
,,,,,,,,,,,2,0,1,2,2,4,0,0,1,0,,,,,,,,,Block Group 3; Census Tract 137.05; Boulder County; Colorado,,,3,1,26,5,0,1,1,1,0,0,1,,,,,,,,,,,,1,0,18,0,0,0,0,4,0,1,0,,,,,,,,,,,1500000US080130137053,2,3,44,2,,0,1,1,1,1,1,1
,,,,,,,,,,,2,3,3,3,4,0,3,0,1,1,,,,,,,,,Block Group 1; Census Tract 137.06; Boulder County; Colorado,,,5,1,65,1,1,8,4,1,1,10,4,,,,,,,,,,,,2,0,58,2,4,8,0,4,2,3,7,,,,,,,,,,,1500000US080130137061,7,1,123,7,,4,1,0,4,2,4,5
,,,,,,,,,,,6,6,5,5,9,9,6,5,5,8,,,,,,,,,Block Group 2; Census Tract 137.06; Boulder County; Colorado,,,7,4,117,5,3,6,0,14,11,4,4,,,,,,,,,,,,1,11,106,3,0,2,0,7,8,5,1,,,,,,,,,,,1500000US080130137062,7,12,223,11,,2,6,3,8,4,7,3
,,,,,,,,,,,6,1,3,4,4,2,6,1,2,1,,,,,,,,,Block Group 3; Census Tract 137.06; Boulder County; Colorado,,,0,9,52,6,2,4,3,0,1,0,1,,,,,,,,,,,,2,5,67,7,4,1,4,0,1,7,5,,,,,,,,,,,1500000US080130137063,0,4,119,0,,2,3,6,3,3,5,1
,,,,,,,,,,,1,4,5,8,2,2,7,2,1,1,,,,,,,,,Block Group 4; Census Tract 137.06; Boulder County; Colorado,,,1,7,42,4,2,0,4,1,4,4,3,,,,,,,,,,,,1,2,53,0,0,4,0,0,5,1,5,,,,,,,,,,,1500000US080130137064,0,0,95,2,,3,4,1,3,0,0,1
,,,,,,,,,,,6,0,9,6,11,7,0,7,4,3,,,,,,,,,Block Group 1; Census Tract 606.01; Boulder County; Colorado,,,4,7,96,2,2,7,2,5,8,3,1,,,,,,,,,,,,5,1,86,10,6,2,8,9,0,10,5,,,,,,,,,,,1500000US080130606011,1,3,182,2,,4,2,5,8,6,0,1
,,,,,,,,,,,24,7,8,11,7,8,13,7,21,9,,,,,,,,,Block Group 2; Census Tract 606.01; Boulder County; Colorado,,,14,12,289,18,15,16,16,19,14,20,12,,,,,,,,,,,,14,15,284,13,11,9,6,23,15,18,17,,,,,,,,,,,1500000US080130606012,15,19,573,21,,15,19,11,15,16,12,18
,,,,,,,,,,,3,14,0,4,2,6,6,9,6,9,,,,,,,,,Block Group 3; Census Tract 606.01; Boulder County; Colorado,,,9,5,102,13,3,3,1,4,6,6,9,,,,,,,,,,,,1,9,119,3,7,9,5,5,8,2,2,,,,,,,,,,,1500000US080130606013,3,9,221,3,,3,5,2,4,9,6,8
,,,,,,,,,,,11,8,11,9,3,5,5,4,10,4,,,,,,,,,Block Group 1; Census Tract 606.02; Boulder County; Colorado,,,11,8,152,4,3,4,4,13,8,10,5,,,,,,,,,,,,12,10,138,9,5,8,8,10,7,2,12,,,,,,,,,,,1500000US080130606021,10,3,290,6,,7,7,8,7,7,5,7
,,,,,,,,,,,2,6,4,0,1,0,2,3,0,3,,,,,,,,,Block Group 1; Census Tract 607; Boulder County; Colorado,,,2,6,57,4,3,4,1,4,0,3,6,,,,,,,,,,,,4,2,53,3,1,3,2,0,5,2,4,,,,,,,,,,,1500000US080130607001,6,7,110,5,,0,6,1,1,1,0,3
,,,,,,,,,,,4,14,3,6,6,6,13,1,2,5,,,,,,,,,Block Group 2; Census Tract 607; Boulder County; Colorado,,,3,11,123,4,8,2,3,16,5,17,4,,,,,,,,,,,,1,5,160,7,0,8,5,12,8,14,16,,,,,,,,,,,1500000US080130607002,8,7,283,5,,12,7,5,13,4,11,2
,,,,,,,,,,,7,8,2,6,6,2,6,0,9,9,,,,,,,,,Block Group 3; Census Tract 607; Boulder County; Colorado,,,7,3,112,6,6,6,2,7,8,6,1,,,,,,,,,,,,10,9,117,5,8,6,10,3,1,2,8,,,,,,,,,,,1500000US080130607003,8,4,229,7,,10,5,1,7,6,7,5
,,,,,,,,,,,1,0,0,0,3,2,0,0,5,4,,,,,,,,,Block Group 1; Census Tract 608.01; Boulder County; Colorado,,,1,2,23,1,0,0,0,1,1,1,0,,,,,,,,,,,,0,0,11,2,0,0,0,5,0,1,0,,,,,,,,,,,1500000US080130608011,0,1,34,2,,0,0,0,0,1,0,0
,,,,,,,,,,,17,16,15,5,16,11,8,11,19,11,,,,,,,,,Block Group 2; Census Tract 608.01; Boulder County; Colorado,,,10,5,231,15,5,12,11,15,5,19,10,,,,,,,,,,,,11,18,231,10,6,11,6,10,5,7,15,,,,,,,,,,,1500000US080130608012,14,13,462,8,,16,10,18,16,11,13,8
,,,,,,,,,,,10,1,7,22,6,15,9,4,13,7,,,,,,,,,Block Group 3; Census Tract 608.01; Boulder County; Colorado,,,13,14,207,15,8,6,8,12,16,8,10,,,,,,,,,,,,11,16,239,15,10,13,8,6,12,13,9,,,,,,,,,,,1500000US080130608013,14,24,446,11,,12,14,14,10,6,9,15
,,,,,,,,,,,12,7,10,7,14,4,15,6,12,8,,,,,,,,,Block Group 1; Census Tract 608.02; Boulder County; Colorado,,,19,11,210,6,6,15,9,1,14,17,7,,,,,,,,,,,,10,5,213,14,13,16,5,11,10,24,9,,,,,,,,,,,1500000US080130608021,14,12,423,7,,8,16,7,16,7,10,9
,,,,,,,,,,,10,9,7,7,4,7,4,8,2,3,,,,,,,,,Block Group 2; Census Tract 608.02; Boulder County; Colorado,,,0,2,91,14,9,9,8,3,6,1,7,,,,,,,,,,,,0,3,128,2,5,8,4,2,5,9,7,,,,,,,,,,,1500000US080130608022,4,6,219,9,,8,4,9,1,5,5,3
,,,,,,,,,,,12,5,5,14,8,22,13,9,17,20,,,,,,,,,Block Group 3; Census Tract 608.02; Boulder County; Colorado,,,10,18,219,19,12,6,6,20,10,6,11,,,,,,,,,,,,9,8,257,14,10,17,14,14,14,15,8,,,,,,,,,,,1500000US080130608023,4,13,476,17,,10,9,12,12,8,15,10
,,,,,,,,,,,10,13,4,2,4,0,4,4,1,3,,,,,,,,,Block Group 4; Census Tract 608.02; Boulder County; Colorado,,,7,7,95,5,2,3,4,4,5,7,3,,,,,,,,,,,,6,8,88,1,7,1,6,9,3,2,8,,,,,,,,,,,1500000US080130608024,6,5,183,3,,1,7,3,6,3,1,5
,,,,,,,,,,,7,10,3,6,3,7,7,9,8,12,,,,,,,,,Block Group 1; Census Tract 609; Boulder County; Colorado,,,10,16,165,12,3,3,6,6,12,7,10,,,,,,,,,,,,8,10,189,8,6,5,21,8,12,4,17,,,,,,,,,,,1500000US080130609001,11,7,354,4,,1,9,11,6,12,20,17
,,,,,,,,,,,23,12,23,16,12,14,13,14,14,13,,,,,,,,,Block Group 2; Census Tract 609; Boulder County; Colorado,,,17,15,298,15,6,20,20,25,21,18,24,,,,,,,,,,,,24,14,345,11,8,16,16,17,13,18,20,,,,,,,,,,,1500000US080130609002,5,11,643,27,,13,21,20,17,7,20,10
,,,,,,,,,,,16,6,0,9,18,11,11,9,10,6,,,,,,,,,Block Group 3; Census Tract 609; Boulder County; Colorado,,,6,11,162,9,3,9,11,4,9,11,9,,,,,,,,,,,,3,14,170,7,10,14,4,8,10,6,9,,,,,,,,,,,1500000US080130609003,10,11,332,6,,10,4,6,10,6,3,3
